arch,seed,checkpoint,contrast,pair_id,n_tokens_a,n_tokens_b,gain_delta,true_delta,unrelated_delta,excess_true_cost
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010789,2,2,1.9239380359649658,-2.7146170139312744,-0.7906789779663086,-1.9239380359649658
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010795,2,2,0.2937662601470947,-0.18552088737487793,0.1082453727722168,-0.2937662601470947
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010848,2,2,-2.774501919746399,2.080442786216736,-0.6940591335296631,2.774501919746399
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010880,2,2,0.35778093338012695,-0.3704948425292969,-0.012713909149169922,-0.35778093338012695
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010977,2,2,1.807260513305664,-2.6785600185394287,-0.8712995052337646,-1.807260513305664
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_011035,2,2,-1.2524199485778809,2.3800160884857178,1.127596139907837,1.2524199485778809
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_011199,2,2,-1.4566477537155154,1.2273656129837036,-0.22928214073181152,1.4566477537155151
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_011308,2,2,0.18280267715454124,0.21279668807983398,0.395599365234375,-0.18280267715454102
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_011354,2,2,0.3702588081359872,-1.608715534210205,-1.2384567260742188,-0.37025880813598633
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_011434,2,2,-2.48677134513855,1.483860731124878,-1.0029106140136719,2.48677134513855
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_011512,2,2,0.7945284843444826,-0.7395260334014893,0.055002450942993164,-0.7945284843444824
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_011533,2,2,-2.3482861518859863,0.48630285263061523,-1.861983299255371,2.3482861518859863
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_011735,2,2,-3.700135201215744,3.7880658209323883,0.08793061971664429,3.700135201215744
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_011846,2,2,-0.5367662906646729,0.7724552154541016,0.2356889247894287,0.5367662906646729
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_011930,2,2,0.25188195705413774,-1.858510375022889,-1.60662841796875,-0.25188195705413907
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_011947,1,1,-0.14986896514892578,-0.3719749450683594,-0.5218439102172834,0.149868965148924
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_011983,2,2,-2.8680602312088013,2.6146384477615356,-0.2534217834472656,2.8680602312088013
