column,subtask,n_items,score_70,score_72,score_74,score_76,score_78,score_80,score_82,score_84,score_86,score_88,score_90
BLiMP,sentential_subject_island,961,36.31633714880333,37.356919875130075,39.438085327783554,34.85952133194589,35.37981269510926,33.29864724245578,34.23517169614985,33.50676378772112,34.755463059313215,31.321540062434966,31.73777315296566
BLiMP,superlative_quantifiers_1,979,90.29622063329928,88.04902962206333,92.44126659856997,90.80694586312565,92.54341164453524,89.1726251276813,91.52196118488254,91.52196118488254,90.50051072522982,92.64555669050051,93.46271705822268
BLiMP,superlative_quantifiers_2,986,63.48884381338742,62.37322515212982,60.649087221095336,64.70588235294117,63.38742393509128,62.37322515212982,59.73630831643002,59.43204868154158,59.33062880324543,60.04056795131846,60.24340770791075
BLiMP,tough_vs_raising_1,948,31.0126582278481,33.64978902953587,34.177215189873415,34.28270042194092,32.48945147679325,34.177215189873415,32.594936708860764,38.291139240506325,36.28691983122363,35.12658227848101,33.9662447257384
BLiMP,tough_vs_raising_2,920,76.63043478260869,74.23913043478261,76.19565217391305,75.32608695652175,75.54347826086956,74.45652173913044,75.8695652173913,72.5,74.1304347826087,75.43478260869566,75.43478260869566
BLiMP,transitive,868,73.963133640553,73.27188940092167,72.46543778801843,73.27188940092167,73.963133640553,74.76958525345621,74.07834101382488,74.07834101382488,73.963133640553,74.19354838709677,74.30875576036865
BLiMP,wh_island,960,50.416666666666664,48.75,46.35416666666667,45.0,47.1875,54.166666666666664,43.125,52.708333333333336,50.31250000000001,48.229166666666664,47.291666666666664
BLiMP,wh_questions_object_gap,859,44.81955762514552,44.81955762514552,47.72991850989523,43.538998835855644,51.571594877764845,49.12689173457509,48.31199068684517,49.0104772991851,50.174621653084984,51.571594877764845,51.804423748544814
BLiMP,wh_questions_subject_gap,898,75.27839643652561,79.1759465478842,76.61469933184856,76.94877505567929,77.28285077951003,79.73273942093542,74.94432071269487,78.06236080178174,77.06013363028953,78.17371937639199,77.50556792873051
BLiMP,wh_questions_subject_gap_long_distance,857,89.14819136522753,90.31505250875146,89.49824970828472,89.26487747957992,89.26487747957992,89.7316219369895,90.31505250875146,89.96499416569428,89.26487747957992,90.31505250875146,90.08168028004667
BLiMP,wh_vs_that_no_gap,861,90.12775842044135,90.01161440185831,90.36004645760744,89.19860627177701,90.36004645760744,91.869918699187,89.77932636469221,92.10220673635308,90.01161440185831,91.869918699187,90.94076655052264
BLiMP,wh_vs_that_no_gap_long_distance,875,93.37142857142857,94.62857142857143,93.48571428571428,92.91428571428571,95.08571428571429,94.85714285714286,94.05714285714286,93.60000000000001,93.48571428571428,95.65714285714286,95.08571428571429
BLiMP,wh_vs_that_with_gap,919,45.37540805223069,48.09575625680087,49.40152339499456,50.59847660500544,47.442872687704025,49.727965179542984,54.84221980413493,50.70729053318824,52.23068552774755,49.83677910772579,50.81610446137106
BLiMP,wh_vs_that_with_gap_long_distance,910,18.021978021978022,16.483516483516482,18.571428571428573,17.47252747252747,14.615384615384617,17.47252747252747,18.791208791208792,18.571428571428573,19.340659340659343,16.923076923076923,17.36263736263736
COMPS,base,49340,52.991487636805836,53.242805026347796,53.567085528982574,53.69071747061208,53.65018240778273,53.48804215646534,53.71098500202676,53.86704499391974,53.71909201459262,53.747466558573166,53.73327928658289
COMPS,wugs,13896,51.446459412780655,50.525331030512376,51.71272308578008,51.813471502590666,51.43926309729419,51.388888888888886,51.05066206102475,51.05066206102475,51.35290731145653,51.32412204951065,51.101036269430054
COMPS,wugs_dist_before,13896,48.94214162348877,50.45336787564767,50.69804260218768,49.820092112838225,49.5538284398388,48.704663212435236,50.568508923431196,50.985895221646516,51.331318364997124,49.928036845135296,50.143926309729416
COMPS,wugs_dist_in_between,13896,52.50431778929189,50.1727115716753,50.33822682786413,51.086643638457105,51.57599309153713,52.03655728267127,50.19430051813472,49.820092112838225,49.301957397812316,50.8419689119171,50.93552101324123
EWoK,agent-properties,2210,48.73303167420814,49.457013574660635,48.68778280542986,50.90497737556561,50.588235294117645,49.63800904977376,49.59276018099548,49.276018099547514,49.140271493212666,49.185520361990946,49.59276018099548
EWoK,material-dynamics,770,50.12987012987013,51.81818181818182,50.51948051948052,50.77922077922078,53.246753246753244,51.81818181818182,51.298701298701296,53.246753246753244,52.2077922077922,51.94805194805194,52.5974025974026
EWoK,material-properties,170,55.294117647058826,54.11764705882353,52.352941176470594,55.294117647058826,54.70588235294118,54.70588235294118,55.88235294117647,54.70588235294118,57.647058823529406,57.05882352941176,57.05882352941176
EWoK,physical-dynamics,120,49.166666666666664,50.0,50.0,60.0,59.166666666666664,51.66666666666667,51.66666666666667,51.66666666666667,51.66666666666667,52.5,53.333333333333336
EWoK,physical-interactions,556,48.74100719424461,48.74100719424461,48.02158273381295,47.84172661870504,49.460431654676256,48.201438848920866,46.94244604316547,48.92086330935252,48.201438848920866,48.561151079136685,46.94244604316547
EWoK,physical-relations,818,49.75550122249388,51.22249388753056,50.8557457212714,49.02200488997555,49.75550122249388,48.16625916870416,48.044009779951104,48.41075794621027,49.511002444987774,49.38875305623472,48.41075794621027
EWoK,quantitative-properties,314,57.961783439490446,57.64331210191082,57.324840764331206,55.73248407643312,55.095541401273884,56.36942675159236,54.77707006369427,56.05095541401274,57.00636942675159,59.87261146496815,56.68789808917197
EWoK,social-interactions,294,56.12244897959183,58.50340136054422,56.80272108843537,57.48299319727891,59.863945578231295,56.80272108843537,56.4625850340136,56.4625850340136,56.12244897959183,56.80272108843537,56.80272108843537
EWoK,social-properties,328,51.52439024390244,59.14634146341463,60.97560975609756,55.79268292682927,52.13414634146341,55.487804878048784,59.756097560975604,56.09756097560976,55.1829268292683,54.87804878048781,55.79268292682927
EWoK,social-relations,1548,50.90439276485789,48.837209302325576,49.35400516795866,49.935400516795866,50.129198966408275,49.6124031007752,50.129198966408275,50.775193798449614,50.3875968992248,49.16020671834625,49.8062015503876
EWoK,spatial-relations,490,45.714285714285715,47.14285714285714,46.93877551020408,48.36734693877551,48.57142857142857,45.91836734693878,45.30612244897959,47.755102040816325,46.326530612244895,45.714285714285715,46.12244897959184
Entity,ambiref_0_ops,508,29.527559055118108,28.937007874015748,25.393700787401574,29.133858267716533,30.118110236220474,27.36220472440945,29.133858267716533,26.968503937007878,30.118110236220474,29.330708661417322,29.330708661417322
Entity,ambiref_1_ops,428,14.252336448598129,15.42056074766355,16.121495327102803,16.355140186915886,15.654205607476634,16.588785046728972,15.654205607476634,15.42056074766355,14.719626168224298,15.42056074766355,16.121495327102803
Entity,ambiref_2_ops,413,20.581113801452787,20.33898305084746,20.581113801452787,18.886198547215496,19.128329297820823,19.854721549636803,20.823244552058114,18.886198547215496,19.37046004842615,19.612590799031477,19.854721549636803
Entity,ambiref_3_ops,409,24.938875305623473,25.67237163814181,24.449877750611247,25.183374083129586,24.449877750611247,27.628361858190708,27.139364303178482,23.96088019559902,23.227383863080682,23.71638141809291,23.227383863080682
Entity,ambiref_4_ops,434,31.797235023041477,31.336405529953915,33.87096774193548,33.17972350230415,32.48847926267281,33.41013824884793,33.87096774193548,30.414746543778804,30.414746543778804,31.566820276497698,30.87557603686636
Entity,ambiref_5_ops,123,32.52032520325203,33.33333333333333,30.89430894308943,31.70731707317073,29.268292682926827,34.146341463414636,34.146341463414636,30.081300813008134,28.455284552845526,30.081300813008134,30.081300813008134
Entity,move_contents_0_ops,516,50.58139534883721,49.41860465116279,44.18604651162791,45.542635658914726,47.674418604651166,45.73643410852713,46.12403100775194,46.51162790697674,48.44961240310077,48.44961240310077,49.41860465116279
Entity,move_contents_1_ops,437,15.102974828375288,14.645308924485127,14.416475972540047,13.729977116704806,15.560640732265446,15.331807780320366,14.645308924485127,14.874141876430205,15.560640732265446,15.331807780320366,15.331807780320366
Entity,move_contents_2_ops,399,18.546365914786968,19.047619047619047,21.553884711779446,20.30075187969925,18.796992481203006,22.05513784461153,19.799498746867165,19.548872180451127,19.298245614035086,20.050125313283207,19.298245614035086
Entity,move_contents_3_ops,406,23.15270935960591,18.96551724137931,27.093596059113302,23.645320197044335,23.891625615763548,26.60098522167488,26.354679802955665,24.876847290640395,25.862068965517242,26.60098522167488,25.36945812807882
Entity,move_contents_4_ops,353,26.628895184135974,26.345609065155806,29.178470254957507,28.611898016997166,26.912181303116146,29.178470254957507,29.178470254957507,26.062322946175637,24.362606232294617,24.929178470254957,24.929178470254957
Entity,move_contents_5_ops,116,27.586206896551722,27.586206896551722,34.48275862068966,33.62068965517241,30.17241379310345,37.06896551724138,33.62068965517241,32.758620689655174,33.62068965517241,31.896551724137932,31.03448275862069
Entity,regular_0_ops,517,47.195357833655706,43.907156673114116,40.81237911025145,42.5531914893617,44.10058027079304,39.65183752417795,39.65183752417795,42.5531914893617,43.32688588007737,42.5531914893617,42.74661508704062
Entity,regular_1_ops,409,12.469437652811736,11.98044009779951,14.66992665036675,14.425427872860636,14.91442542787286,13.93643031784841,13.93643031784841,12.469437652811736,11.98044009779951,12.71393643031785,13.447432762836186
Entity,regular_2_ops,405,20.0,19.25925925925926,22.22222222222222,23.209876543209877,23.703703703703706,23.950617283950617,22.962962962962962,21.975308641975307,21.728395061728396,21.23456790123457,20.246913580246915
Entity,regular_3_ops,425,23.52941176470588,21.64705882352941,26.588235294117645,24.235294117647058,24.705882352941178,27.764705882352942,26.588235294117645,24.235294117647058,23.058823529411764,23.294117647058822,23.52941176470588
Entity,regular_4_ops,388,27.577319587628867,25.0,30.15463917525773,28.09278350515464,27.31958762886598,30.670103092783506,29.63917525773196,26.54639175257732,26.03092783505155,27.061855670103093,27.061855670103093
Entity,regular_5_ops,94,23.404255319148938,25.53191489361702,25.53191489361702,28.723404255319153,24.46808510638298,29.78723404255319,26.595744680851062,26.595744680851062,24.46808510638298,22.340425531914892,21.27659574468085
GlobalPIQA,global_piqa_nonparallel,100,47.0,47.0,50.0,51.0,49.0,50.0,49.0,50.0,51.0,51.0,51.0
GlobalPIQA,global_piqa_parallel,103,30.097087378640776,30.097087378640776,26.21359223300971,29.126213592233007,29.126213592233007,27.184466019417474,28.155339805825243,29.126213592233007,27.184466019417474,31.06796116504854,29.126213592233007
Supplement,hypernym,842,50.0,49.7624703087886,48.218527315914486,49.4061757719715,49.6437054631829,47.86223277909738,48.9311163895487,49.16864608076009,49.049881235154395,49.049881235154395,48.33729216152019
Supplement,qa_congruence_easy,64,67.1875,67.1875,67.1875,67.1875,65.625,65.625,65.625,70.3125,70.3125,68.75,68.75
Supplement,qa_congruence_tricky,165,47.27272727272727,47.27272727272727,47.878787878787875,47.27272727272727,46.666666666666664,44.84848484848485,45.45454545454545,44.24242424242424,44.24242424242424,44.24242424242424,43.03030303030303
Supplement,subject_aux_inversion,3867,77.70881820532712,77.29506077062322,78.38117403672096,77.88983708301008,77.42435996896819,77.60537884665115,78.09671580036203,78.200155159038,77.55365916731316,77.52779932764416,78.07085596069304
Supplement,turn_taking,280,68.92857142857143,68.57142857142857,66.42857142857143,66.07142857142857,67.85714285714286,67.85714285714286,67.85714285714286,67.85714285714286,67.85714285714286,67.14285714285714,67.5
