endpoint,form,token_kind,distance_bin,row_length_bin,tokens,kl_mean,kl_sd_pop,kl_max
dense65_u0080,coherent_add_special,content,8-15,>=256,144,0.0013141373460613516,0.004712377442283333,0.040820784866809845
dense65_u0080,coherent_add_special,special,0,128-255,78,0.05273839558373229,0.08413533509789409,0.5459985733032227
dense65_u0080,coherent_add_special,special,0,>=256,18,0.01246673260301476,0.007852438142400373,0.02870745211839676
dense65_u0080,coherent_no_special,content,none,128-255,8525,0.003392331387539721,0.015861691076561643,0.4278836250305176
dense65_u0080,coherent_no_special,content,none,>=256,2048,0.001279233465925145,0.005690354918925678,0.09961452335119247
dense65_u0080,short_add_special,content,1,0-15,38,0.007916440722151731,0.02837488490060522,0.17519408464431763
dense65_u0080,short_add_special,content,1,16-31,32,0.008851304991537745,0.027285585350602125,0.14128966629505157
dense65_u0080,short_add_special,content,1,32-63,22,0.008540453851279299,0.02351257832749961,0.10377340018749237
dense65_u0080,short_add_special,content,1,64-127,4,0.030919078411898226,0.0301200561012395,0.07714412361383438
dense65_u0080,short_add_special,content,16-31,32-63,124,0.026157927159099547,0.11749646273439335,0.906892716884613
dense65_u0080,short_add_special,content,16-31,64-127,64,0.012237177141873445,0.033273626858200206,0.1752064973115921
dense65_u0080,short_add_special,content,2-3,0-15,65,0.03765669095594673,0.2786456862059504,2.266151189804077
dense65_u0080,short_add_special,content,2-3,16-31,64,0.003542874703974519,0.01626128553244412,0.12948483228683472
dense65_u0080,short_add_special,content,2-3,32-63,44,0.006471350213504676,0.02272707590034355,0.1411322057247162
dense65_u0080,short_add_special,content,2-3,64-127,8,0.04498288857826083,0.1150987525199567,0.34948229789733887
dense65_u0080,short_add_special,content,32-63,64-127,28,0.004182667681115098,0.008538055326944448,0.0332363061606884
dense65_u0080,short_add_special,content,4-7,0-15,31,0.003258760039513266,0.008319874345404129,0.04110866039991379
dense65_u0080,short_add_special,content,4-7,16-31,128,0.010710608538832211,0.037326756295192456,0.3316933810710907
dense65_u0080,short_add_special,content,4-7,32-63,88,0.008775281741642195,0.05230866063906956,0.4904547929763794
dense65_u0080,short_add_special,content,4-7,64-127,16,0.0068038677966910655,0.013229608210818289,0.051223136484622955
dense65_u0080,short_add_special,content,8-15,16-31,105,0.006466779668993522,0.020317406860295546,0.15780051052570343
dense65_u0080,short_add_special,content,8-15,32-63,176,0.00913143894092369,0.03336228124687332,0.26351261138916016
dense65_u0080,short_add_special,content,8-15,64-127,32,0.003136961747031819,0.007618836539328006,0.0336659736931324
dense65_u0080,short_add_special,special,0,0-15,38,0.044110567861935124,0.06568717131290211,0.38976019620895386
dense65_u0080,short_add_special,special,0,16-31,32,0.07491478117299266,0.0916103274612502,0.39627933502197266
dense65_u0080,short_add_special,special,0,32-63,22,0.03733536598949947,0.035487763953057014,0.12649241089820862
dense65_u0080,short_add_special,special,0,64-127,4,0.03639271596330218,0.035828699022221334,0.09321826696395874
clean_pres64_u0080,coherent_add_special,content,1,128-255,78,0.006503944542154945,0.016967030087094877,0.09687490016222
clean_pres64_u0080,coherent_add_special,content,1,>=256,18,0.0007350094365424158,0.0023798517009924686,0.01046705711632967
clean_pres64_u0080,coherent_add_special,content,16-31,128-255,1248,0.0020334546090494563,0.011292045536820804,0.22444142401218414
clean_pres64_u0080,coherent_add_special,content,16-31,>=256,288,0.0007442600303584839,0.002360993449578445,0.02085193619132042
clean_pres64_u0080,coherent_add_special,content,2-3,128-255,156,0.0019227474764529863,0.007806099455553109,0.07626718282699585
