family,arm,checkpoint,seed,role,group,n,mean_gain,mean_a_nll,mean_b_nll,sd_gain,se_gain
copy,D_R_43022,chck_100M,43022,R,domain_bnc_spoken,180,4.585330027687774,0.4142762577129664,4.99960628540074,3.7829441237272814,0.28196400719125253
copy,D_R_43022,chck_100M,43022,R,domain_childes,642,2.82085040588352,0.17708658288507426,2.9979369887685943,3.399064837278678,0.1341503885252328
copy,D_R_43022,chck_100M,43022,R,domain_gutenberg,468,5.029628783592834,0.1668798916021982,5.196508675195032,4.324229823860451,0.19988759431819833
copy,D_R_43022,chck_100M,43022,R,domain_open_subtitles,434,4.91504291009353,0.19557822523515217,5.110621135328682,4.12200208829087,0.19786243193709255
copy,D_R_43022,chck_100M,43022,R,domain_simple_wiki,272,4.38149074363023,0.20411844107556978,4.5856091847058,4.572277355723639,0.2772350365774761
copy,D_R_43022,chck_100M,43022,R,domain_switchboard,4,2.0147483299369924,0.05518409359501675,2.069932423532009,1.840188374482862,0.920094187241431
copy,D_R_43022,chck_100M,43022,R,span_1,1000,4.251270326795892,0.2900883719136909,4.541358698709582,4.4208292334971775,0.13979889524507425
copy,D_R_43022,chck_100M,43022,R,span_4,1000,4.0718944080543364,0.11689263205568054,4.188787040110016,3.751742901119302,0.11864052762904874
copy,D_R_43022,chck_80M,43022,R,ALL,2000,4.193962873260293,0.20689367483777046,4.400856548098064,4.103852187003429,0.09176492459750844
copy,D_R_43022,chck_80M,43022,R,domain_bnc_spoken,180,4.707255535203633,0.3928233233653979,5.100078858569032,3.8641712479161736,0.2880183195680252
copy,D_R_43022,chck_80M,43022,R,domain_childes,642,2.8419725551797868,0.18663344521830466,3.0286060003980917,3.4380143803498644,0.1356876043731256
copy,D_R_43022,chck_80M,43022,R,domain_gutenberg,468,5.048787358937937,0.16880981036584305,5.21759716930378,4.277855070470218,0.1977439205844101
copy,D_R_43022,chck_80M,43022,R,domain_open_subtitles,434,4.9114620968764875,0.20782593571711577,5.1192880325936025,4.0807154790670985,0.1958806112750756
copy,D_R_43022,chck_80M,43022,R,domain_simple_wiki,272,4.463154845146417,0.19815926153251842,4.661314106678936,4.607921085193642,0.2793962551288844
copy,D_R_43022,chck_80M,43022,R,domain_switchboard,4,1.92205446283333,0.04042828758247197,1.962482750415802,1.8398636895848501,0.9199318447924251
copy,D_R_43022,chck_80M,43022,R,span_1,1000,4.287001513353938,0.29510881194998373,4.582110325303922,4.4232200108447115,0.1398744982630397
copy,D_R_43022,chck_80M,43022,R,span_4,1000,4.100924233166649,0.11867853772555723,4.219602770892205,3.7551322086056573,0.11874770694252416
copy,D_R_43022,chck_90M,43022,R,ALL,2000,4.203754187105353,0.19923697643016813,4.402991163535521,4.131402944165781,0.09238097825597454
copy,D_R_43022,chck_90M,43022,R,domain_bnc_spoken,180,4.637791895859967,0.39583654856020684,5.033628444420174,3.822978774016908,0.28494801384135376
copy,D_R_43022,chck_90M,43022,R,domain_childes,642,2.8423840579912882,0.1785972365485948,3.020981294539883,3.414385307242255,0.134755039244296
copy,D_R_43022,chck_90M,43022,R,domain_gutenberg,468,5.084960733431061,0.1641762759112074,5.2491370093422685,4.366918257421418,0.20186086785759966
copy,D_R_43022,chck_90M,43022,R,domain_open_subtitles,434,4.957743646930153,0.1863550849454613,5.144098731875614,4.141901599469851,0.19881763904080005
copy,D_R_43022,chck_90M,43022,R,domain_simple_wiki,272,4.440011310451576,0.200851798983902,4.640863109435478,4.606765492676676,0.27932618704053697
copy,D_R_43022,chck_90M,43022,R,domain_switchboard,4,2.197456317313481,0.05491373472614214,2.2523700520396233,1.870301391350528,0.935150695675264
copy,D_R_43022,chck_90M,43022,R,span_1,1000,4.298740778250273,0.2851650139811469,4.58390579223142,4.451262615843708,0.1407612832962522
copy,D_R_43022,chck_90M,43022,R,span_4,1000,4.108767595960434,0.11330893887918936,4.222076534839624,3.782221145559964,0.11960433434420731
copy,D_R_43122,chck_100M,43122,R,ALL,2000,4.279186693628082,0.23241202693870458,4.511598720566787,4.215118399672315,0.09425291274877423
