row_pos,masked_tokens_cpu_proxy,masked_source_tokens_cpu_proxy,masked_view_tokens_cpu_proxy,masked_other_tokens_cpu_proxy,selected_groups_cpu_proxy
917,30,22,8,0,27
918,39,27,12,0,22
919,26,13,13,0,13
920,25,19,6,0,18
921,30,17,13,0,24
922,18,11,7,0,17
923,33,11,22,0,28
924,28,17,11,0,21
925,41,27,14,0,27
926,34,18,16,0,20
927,25,14,11,0,19
928,32,19,13,0,23
929,26,20,6,0,23
930,46,27,19,0,35
931,32,17,15,0,20
932,30,23,7,0,19
933,27,13,14,0,20
934,47,28,19,0,24
935,23,14,9,0,19
936,30,25,5,0,20
937,23,11,12,0,19
938,26,13,13,0,15
939,20,13,7,0,18
940,22,16,6,0,16
941,32,21,11,0,25
942,32,21,11,0,23
943,24,13,11,0,19
944,23,15,8,0,18
945,33,21,12,0,25
946,32,21,11,0,23
947,25,18,7,0,20
948,18,10,8,0,15
949,31,18,13,0,23
950,36,23,13,0,27
951,26,12,14,0,15
952,36,18,18,0,22
953,37,15,22,0,28
954,41,30,11,0,24
955,32,19,13,0,20
956,32,19,13,0,21
957,26,14,12,0,17
958,24,17,7,0,18
959,33,23,10,0,21
960,27,23,4,0,19
961,22,18,4,0,19
962,43,31,12,0,27
963,31,17,14,0,25
964,44,27,17,0,31
965,30,16,14,0,18
966,25,17,8,0,19
967,20,10,10,0,16
968,30,17,13,0,20
969,38,23,15,0,24
970,28,14,14,0,20
971,47,29,18,0,31
972,30,16,14,0,27
973,24,14,10,0,20
974,30,11,19,0,21
975,16,11,5,0,14
976,24,17,7,0,16
977,22,16,6,0,15
978,36,22,14,0,26
979,30,12,18,0,23
980,19,13,6,0,17
981,30,12,18,0,18
982,26,15,11,0,21
983,26,20,6,0,19
984,47,25,22,0,31
985,55,37,18,0,30
986,21,16,5,0,18
987,39,31,8,0,25
988,34,20,14,0,21
989,36,21,15,0,23
990,33,21,12,0,22
991,22,15,7,0,22
992,19,10,9,0,15
993,29,8,21,0,21
994,29,11,18,0,21
995,20,11,9,0,14
996,23,12,11,0,18
997,33,23,10,0,21
998,20,16,4,0,15
999,23,13,10,0,20
1000,36,19,17,0,24
1001,32,12,20,0,20
1002,20,14,6,0,18
1003,32,20,12,0,22
1004,31,13,18,0,25
1005,39,22,17,0,24
1006,26,13,13,0,19
1007,26,16,10,0,24
1008,41,27,14,0,24
1009,29,23,6,0,22
1010,29,11,18,0,20
1011,20,9,11,0,14
1012,30,17,13,0,22
1013,29,15,14,0,20
1014,38,25,13,0,21
1015,45,28,17,0,29
1016,28,18,10,0,26
1017,26,21,5,0,19
1018,31,7,24,0,17
1019,41,23,18,0,22
1020,32,20,12,0,22
1021,39,32,7,0,25
1022,19,6,13,0,15
1023,38,23,15,0,27
1024,38,28,10,0,26
1025,25,12,13,0,17
1026,23,11,12,0,17
1027,20,10,10,0,18
1028,30,12,18,0,24
1029,16,8,8,0,13
1030,44,23,21,0,24
1031,34,20,14,0,22
1032,24,13,11,0,16
1033,34,23,11,0,25
1034,22,15,7,0,17
1035,35,27,8,0,23
1036,23,12,11,0,17
1037,25,17,8,0,20
1038,28,15,13,0,21
1039,40,25,15,0,25
1040,23,15,8,0,19
1041,28,19,9,0,24
1042,14,13,1,0,12
1043,29,20,9,0,21
1044,39,27,12,0,20
1045,17,12,5,0,14
1046,28,25,3,0,17
1047,28,18,10,0,21
1048,35,23,12,0,21
1049,26,20,6,0,15
1050,45,24,21,0,32
1051,45,23,22,0,32
1052,29,18,11,0,22
1053,18,8,10,0,17
1054,26,11,15,0,19
1055,36,21,15,0,24
1056,30,12,18,0,19
1057,21,13,8,0,17
1058,11,8,3,0,10
1059,19,18,1,0,14
1060,32,15,17,0,24
1061,35,23,12,0,25
1062,30,20,10,0,26
1063,28,15,13,0,19
1064,23,16,7,0,18
1065,24,15,9,0,16
1066,25,11,14,0,16
1067,21,10,11,0,14
1068,31,23,8,0,21
1069,28,14,14,0,25
1070,37,22,15,0,21
1071,37,12,25,0,26
1072,34,19,15,0,24
1073,33,19,14,0,26
1074,29,21,8,0,23
1075,27,19,8,0,17
1076,40,20,20,0,24
1077,35,30,5,0,28
1078,37,22,15,0,27
1079,35,21,14,0,21
1080,36,19,17,0,23
1081,25,20,5,0,17
1082,28,19,9,0,21
1083,41,21,20,0,25
1084,22,15,7,0,15
1085,37,14,23,0,26
