family,dose_name,rho,checkpoint,words,subgroup,n,margin_mean,margin_median,margin_stdev,frac_margin_positive,binary_delta_mean,frac_binary_positive
EWoK,dose1p82,0.07712,chck_40M,40000000,domain_material-properties,5,-0.881105344183743,-0.1520910244435072,1.7169320422634549,0.4,0.0,0.2
EWoK,dose1p82,0.07712,chck_40M,40000000,domain_physical-dynamics,5,0.05984098669141531,-0.38048606272786856,1.028790322491914,0.4,0.0,0.2
EWoK,dose1p82,0.07712,chck_40M,40000000,domain_physical-interactions,5,-3.1807588051538915,-1.8881108469795436,4.088232539541488,0.2,-0.2,0.0
EWoK,dose1p82,0.07712,chck_40M,40000000,domain_physical-relations,5,2.24072648154106,2.8548742569983006,2.4260976983715046,0.8,0.2,0.2
EWoK,dose1p82,0.07712,chck_40M,40000000,domain_quantitative-properties,5,0.8271575689315795,0.5778997130692005,0.5394008575254069,1.0,0.4,0.4
EWoK,dose1p82,0.07712,chck_40M,40000000,domain_social-interactions,5,-0.30208950862288475,-0.4481964372098446,0.6985924919231465,0.4,-0.4,0.0
EWoK,dose1p82,0.07712,chck_40M,40000000,domain_social-properties,5,1.2783821150660515,1.939817190170288,3.611871138183378,0.6,0.0,0.4
EWoK,dose1p82,0.07712,chck_40M,40000000,domain_social-relations,5,2.918003422021866,-0.7883459329605103,7.278919458952532,0.4,-0.2,0.0
EWoK,dose1p82,0.07712,chck_40M,40000000,domain_spatial-relations,5,-5.085491307056509,-1.7015179265290499,6.264183242957897,0.2,-0.2,0.0
EWoK,dose1p82,0.07712,chck_50M,50000000,all,55,-0.12509409382394304,0.037083884701132774,3.9969438239451285,0.5272727272727272,0.10909090909090909,0.21818181818181817
EWoK,dose1p82,0.07712,chck_50M,50000000,domain_agent-properties,5,-4.628412934113294,-0.1000223346054554,6.989566460645015,0.4,0.0,0.0
EWoK,dose1p82,0.07712,chck_50M,50000000,domain_material-dynamics,5,0.471719054505229,0.49103808403015137,1.0481546380972744,0.8,0.2,0.2
EWoK,dose1p82,0.07712,chck_50M,50000000,domain_material-properties,5,0.5872242048382759,0.25539326295256615,1.497058568541083,0.6,0.2,0.2
EWoK,dose1p82,0.07712,chck_50M,50000000,domain_physical-dynamics,5,-0.5804781639948488,-1.1321316696703434,3.4878647883018874,0.2,-0.4,0.0
