arm,group,late_mean_accuracy_pct,late_mean_stale_pick_pct_among_wrong_stale_available_not_gold,mean_prefix_words,mean_relevant_updates,mean_total_ops,n,n_checkpoints,seed
V,total_ops_1,33.93756294058409,nan,69.66465256797584,0.22356495468277945,1.0,331,3,43122
V,total_ops_10,23.601637107776263,35.89536204345286,141.51841746248294,2.8076398362892223,10.0,733,3,43122
V,total_ops_11,26.650563607085346,35.681538360159955,149.18961352657004,2.9504830917874396,11.0,828,3,43122
V,total_ops_12,26.4417845484222,34.60747752916428,158.37431991294886,3.115342763873776,12.0,919,3,43122
V,total_ops_2,28.908554572271388,33.333333333333336,77.53687315634218,0.4424778761061947,2.0,339,3,43122
V,total_ops_3,30.446927374301676,70.00777000777,85.74022346368714,0.723463687150838,3.0,358,3,43122
V,total_ops_4,25.835591689250226,36.507936507936506,93.0,1.005420054200542,4.0,369,3,43122
V,total_ops_5,25.954198473282442,49.494949494949495,101.42493638676845,1.3231552162849873,5.0,393,3,43122
V,total_ops_6,26.15844544095665,40.13062409288825,109.03363228699551,1.6591928251121075,6.0,446,3,43122
V,total_ops_7,25.787401574803148,42.955721885261184,117.93897637795276,2.045275590551181,7.0,508,3,43122
V,total_ops_8,25.675675675675677,36.24242424242424,126.08952702702703,2.285472972972973,8.0,592,3,43122
V,total_ops_9,26.96969696969697,40.10473588342441,134.4,2.5196969696969695,9.0,660,3,43122
VS,ALL,23.03834808259587,45.37310589942169,120.59041297935103,1.9960176991150442,7.359587020648967,6780,3,43122
VS,rel0_total_ops_0,36.95175438596491,nan,61.473684210526315,0.0,0.0,304,3,43122
VS,rel0_total_ops_1,37.22438391699092,nan,69.715953307393,0.0,1.0,257,3,43122
VS,rel0_total_ops_10,48.148148148148145,nan,143.72222222222223,0.0,10.0,36,3,43122
VS,rel0_total_ops_11,40.625,nan,148.96875,0.0,11.0,32,3,43122
VS,rel0_total_ops_12,40.0,nan,157.36666666666667,0.0,12.0,30,3,43122
VS,rel0_total_ops_2,38.83647798742138,nan,77.93867924528301,0.0,2.0,212,3,43122
VS,rel0_total_ops_3,42.44186046511628,nan,85.88372093023256,0.0,3.0,172,3,43122
VS,rel0_total_ops_4,37.913486005089055,nan,93.36641221374046,0.0,4.0,131,3,43122
VS,rel0_total_ops_5,38.78205128205128,nan,100.5673076923077,0.0,5.0,104,3,43122
VS,rel0_total_ops_6,46.59090909090909,nan,107.64772727272727,0.0,6.0,88,3,43122
VS,rel0_total_ops_7,46.96969696969697,nan,117.81818181818181,0.0,7.0,66,3,43122
VS,rel0_total_ops_8,48.148148148148145,nan,127.47619047619048,0.0,8.0,63,3,43122
VS,rel0_total_ops_9,50.0,nan,134.91304347826087,0.0,9.0,46,3,43122
VS,rel_eq0,40.298507462686565,nan,88.73329007138221,0.0,3.388059701492537,1541,3,43122
VS,rel_ge1,17.961443023477763,45.37310589942169,129.96087039511357,2.5831265508684864,8.527772475663294,5239,3,43122
VS,rel_ge2,19.08409942117807,45.338777026812366,136.0349846782431,3.1179775280898876,9.274770173646578,3916,3,43122
VS,rel_ge3,19.836477987421382,43.828739144231676,140.93735849056603,3.6520754716981134,9.80188679245283,2650,3,43122
VS,rel_ge4,21.643192488262912,44.68998094633217,143.64225352112675,4.216901408450704,10.112676056338028,1420,3,43122
VS,rel_updates_0,40.298507462686565,nan,88.73329007138221,0.0,3.388059701492537,1541,3,43122
