seed,arm,checkpoint,uid,entity_type,numops,n_items,accuracy,report
43022,C,chck_80M,regular_4_ops,regular,4,388,22.68,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_80M,regular_5_ops,regular,5,94,21.28,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_80M/Entity/chck_80M/full_deberta_maxgeom_clean_seed43022_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_90M,ambiref_0_ops,ambiref,0,508,29.72,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_90M/Entity/chck_90M/full_deberta_maxgeom_clean_seed43022_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_90M,ambiref_1_ops,ambiref,1,428,15.19,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_90M/Entity/chck_90M/full_deberta_maxgeom_clean_seed43022_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_90M,ambiref_2_ops,ambiref,2,413,20.58,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_90M/Entity/chck_90M/full_deberta_maxgeom_clean_seed43022_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_90M,ambiref_3_ops,ambiref,3,409,23.96,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_90M/Entity/chck_90M/full_deberta_maxgeom_clean_seed43022_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_90M,ambiref_4_ops,ambiref,4,434,28.11,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_90M/Entity/chck_90M/full_deberta_maxgeom_clean_seed43022_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_90M,ambiref_5_ops,ambiref,5,123,25.2,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_90M/Entity/chck_90M/full_deberta_maxgeom_clean_seed43022_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_90M,move_contents_0_ops,move_contents,0,516,44.57,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_90M/Entity/chck_90M/full_deberta_maxgeom_clean_seed43022_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_90M,move_contents_1_ops,move_contents,1,437,16.7,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_90M/Entity/chck_90M/full_deberta_maxgeom_clean_seed43022_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_90M,move_contents_2_ops,move_contents,2,399,18.3,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_90M/Entity/chck_90M/full_deberta_maxgeom_clean_seed43022_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_90M,move_contents_3_ops,move_contents,3,406,23.65,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_90M/Entity/chck_90M/full_deberta_maxgeom_clean_seed43022_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_90M,move_contents_4_ops,move_contents,4,353,21.81,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_90M/Entity/chck_90M/full_deberta_maxgeom_clean_seed43022_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_90M,move_contents_5_ops,move_contents,5,116,31.03,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_90M/Entity/chck_90M/full_deberta_maxgeom_clean_seed43022_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_90M,regular_0_ops,regular,0,517,43.33,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_90M/Entity/chck_90M/full_deberta_maxgeom_clean_seed43022_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
43022,C,chck_90M,regular_1_ops,regular,1,409,12.47,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_90M/Entity/chck_90M/full_deberta_maxgeom_clean_seed43022_chck_90M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/best_temperature_report.txt
