label,baseline,checkpoint,group,n,base_accuracy_pct,label_accuracy_pct,delta_accuracy_pct,base_recency_pick_pct_among_available,label_recency_pick_pct_among_available,delta_recency_pick_pct_among_available,base_recency_not_gold_pick_pct,label_recency_not_gold_pick_pct,delta_recency_not_gold_pick_pct
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_8,63,28.571428571428573,14.285714285714286,-14.285714285714286,46.666666666666664,40.0,-6.666666666666664,46.666666666666664,40.0,-6.666666666666664
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_9,46,41.30434782608695,15.217391304347826,-26.086956521739125,20.0,40.0,20.0,20.0,40.0,20.0
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_ge7,273,29.67032967032967,14.285714285714286,-15.384615384615385,32.91139240506329,45.56962025316456,12.65822784810127,32.91139240506329,45.56962025316456,12.65822784810127
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_gt0,1237,37.99514955537591,25.303152789005658,-12.691996766370252,23.052959501557634,29.595015576323988,6.542056074766354,23.052959501557634,29.595015576323988,6.542056074766354
binding_ep25_alpha0p75,chck82,eval,rel_eq0_total_ops0,304,35.19736842105263,29.93421052631579,-5.263157894736839,nan,nan,nan,nan,nan,nan
binding_ep25_alpha0p75,chck82,eval,rel_ge1,5239,25.081122351593816,25.348348921549913,0.2672265699560974,33.72739916550765,35.570236439499304,1.8428372739916554,33.80281690140845,35.04556752278376,1.2427506213753148
binding_ep25_alpha0p75,chck82,eval,rel_ge1_postrel_ops0,1850,30.37837837837838,32.432432432432435,2.054054054054056,32.5945945945946,35.2972972972973,2.7027027027027017,22.65193370165746,29.281767955801104,6.6298342541436455
binding_ep25_alpha0p75,chck82,eval,rel_ge1_postrel_ops_0,1850,30.37837837837838,32.432432432432435,2.054054054054056,32.5945945945946,35.2972972972973,2.7027027027027017,22.65193370165746,29.281767955801104,6.6298342541436455
binding_ep25_alpha0p75,chck82,eval,rel_ge1_postrel_ops_1,1200,27.166666666666668,28.5,1.3333333333333321,30.89430894308943,31.43631436314363,0.542005420054199,30.89430894308943,31.43631436314363,0.542005420054199
binding_ep25_alpha0p75,chck82,eval,rel_ge1_postrel_ops_10,15,6.666666666666667,6.666666666666667,0.0,20.0,0.0,-20.0,20.0,0.0,-20.0
binding_ep25_alpha0p75,chck82,eval,rel_ge1_postrel_ops_11,6,0.0,0.0,0.0,75.0,50.0,-25.0,75.0,50.0,-25.0
binding_ep25_alpha0p75,chck82,eval,rel_ge1_postrel_ops_2,817,24.23500611995104,21.78702570379437,-2.447980416156671,38.8235294117647,35.294117647058826,-3.529411764705877,38.8235294117647,35.294117647058826,-3.529411764705877
binding_ep25_alpha0p75,chck82,eval,rel_ge1_postrel_ops_3,513,23.391812865497077,18.908382066276804,-4.483430799220272,39.49044585987261,41.40127388535032,1.9108280254777128,39.49044585987261,41.40127388535032,1.9108280254777128
binding_ep25_alpha0p75,chck82,eval,rel_ge1_postrel_ops_4,343,14.868804664723031,11.9533527696793,-2.9154518950437307,43.39622641509434,46.22641509433962,2.830188679245282,43.39622641509434,46.22641509433962,2.830188679245282
binding_ep25_alpha0p75,chck82,eval,rel_ge1_postrel_ops_5,214,11.214953271028037,15.42056074766355,4.205607476635514,28.571428571428573,32.142857142857146,3.571428571428573,28.571428571428573,32.142857142857146,3.571428571428573
binding_ep25_alpha0p75,chck82,eval,rel_ge1_postrel_ops_6,143,12.587412587412587,14.685314685314685,2.0979020979020984,37.5,40.625,3.125,37.5,40.625,3.125
binding_ep25_alpha0p75,chck82,eval,rel_ge1_postrel_ops_7,75,8.0,10.666666666666666,2.666666666666666,21.73913043478261,21.73913043478261,0.0,21.73913043478261,21.73913043478261,0.0
binding_ep25_alpha0p75,chck82,eval,rel_ge1_postrel_ops_8,40,17.5,15.0,-2.5,38.46153846153846,46.15384615384615,7.692307692307693,38.46153846153846,46.15384615384615,7.692307692307693
binding_ep25_alpha0p75,chck82,eval,rel_ge1_postrel_ops_9,23,4.3478260869565215,4.3478260869565215,0.0,66.66666666666667,100.0,33.33333333333333,66.66666666666667,100.0,33.33333333333333
binding_ep25_alpha0p75,chck82,eval,rel_ge1_postrel_ops_gt0,3389,22.18943641192092,21.481262909412806,-0.7081735025081137,35.76998050682261,36.06237816764133,0.29239766081871466,35.76998050682261,36.06237816764133,0.29239766081871466
binding_ep25_alpha0p75,chck82,eval,rel_ge3,2650,30.150943396226417,30.18867924528302,0.03773584905660243,36.83193818415969,38.6349001931745,1.8029620090148128,33.75451263537906,35.55956678700361,1.805054151624553
