overlap_bin,token_class,contrast,estimand,n_pairs,mean_difference,se_pair_difference,fraction_positive
ALL,overlap,HMminusR,gain_U_vs_N,1200,-0.06908714772121231,0.02853959599604638,0.4691666666666667
high,ALL,RminusC,gain_T_vs_U,400,-0.1355452342201776,0.0571633004601607,0.4675
high,ALL,RminusC,gain_T_vs_N,400,-0.07457934386464334,0.05718507269949964,0.4975
high,ALL,RminusC,gain_U_vs_N,400,0.06096589035553432,0.027219596915061976,0.5225
high,ALL,VminusC,gain_T_vs_U,400,0.14097204240313052,0.06069644546833356,0.575
high,ALL,VminusC,gain_T_vs_N,400,0.15436012331376936,0.06314478053919798,0.57
high,ALL,VminusC,gain_U_vs_N,400,0.013388080910638865,0.02733717389661361,0.495
high,ALL,HVminusC,gain_T_vs_U,400,0.04081847531922296,0.0543159248529582,0.51
high,ALL,HVminusC,gain_T_vs_N,400,-0.0003978072790050535,0.053448882416850585,0.495
high,ALL,HVminusC,gain_U_vs_N,400,-0.041216282598228036,0.028004012616149387,0.46
high,ALL,HVminusV,gain_T_vs_U,400,-0.10015356708390755,0.050011858222778184,0.46
high,ALL,HVminusV,gain_T_vs_N,400,-0.15475793059277443,0.05156142377095324,0.4425
high,ALL,HVminusV,gain_U_vs_N,400,-0.05460436350886691,0.026418424256837696,0.445
high,ALL,VminusHV,gain_T_vs_U,400,0.10015356708390755,0.050011858222778184,0.54
high,ALL,VminusHV,gain_T_vs_N,400,0.15475793059277443,0.05156142377095324,0.5575
high,ALL,VminusHV,gain_U_vs_N,400,0.05460436350886691,0.026418424256837696,0.555
high,ALL,HMminusC,gain_T_vs_U,400,0.03870951045353042,0.05777853653014527,0.52
high,ALL,HMminusC,gain_T_vs_N,400,0.012125229371983242,0.058331188413147904,0.5075
high,ALL,HMminusC,gain_U_vs_N,400,-0.026584281081547197,0.029359532898520273,0.455
high,ALL,HMminusHV,gain_T_vs_U,400,-0.0021089648656925286,0.04670257471171638,0.5
high,ALL,HMminusHV,gain_T_vs_N,400,0.012523036650988289,0.04459533512639794,0.505
high,ALL,HMminusHV,gain_U_vs_N,400,0.014632001516680848,0.028243318433385223,0.5
high,ALL,HVminusHM,gain_T_vs_U,400,0.0021089648656925286,0.04670257471171638,0.5
high,ALL,HVminusHM,gain_T_vs_N,400,-0.012523036650988289,0.04459533512639794,0.495
high,ALL,HVminusHM,gain_U_vs_N,400,-0.014632001516680848,0.028243318433385223,0.5
high,ALL,HMminusV,gain_T_vs_U,400,-0.10226253194960008,0.046672982426138175,0.43
high,ALL,HMminusV,gain_T_vs_N,400,-0.14223489394178615,0.04768408602359077,0.4125
high,ALL,HMminusV,gain_U_vs_N,400,-0.03997236199218605,0.026936930890992694,0.4475
high,ALL,HMminusR,gain_T_vs_U,400,0.17425474467370805,0.05030444962126929,0.5475
high,ALL,HMminusR,gain_T_vs_N,400,0.08670457323662656,0.050448062292783126,0.505
high,ALL,HMminusR,gain_U_vs_N,400,-0.08755017143708152,0.026514906305330994,0.47
high,nonoverlap,RminusC,gain_T_vs_U,400,-0.47668104392262955,0.07182778477832,0.38
high,nonoverlap,RminusC,gain_T_vs_N,400,-0.42737350631582866,0.07169294143315236,0.4075
high,nonoverlap,RminusC,gain_U_vs_N,400,0.04930753760680091,0.029575983188080395,0.5275
high,nonoverlap,VminusC,gain_T_vs_U,400,-0.008892516995935412,0.06527161297689525,0.51
high,nonoverlap,VminusC,gain_T_vs_N,400,-0.002526790842724358,0.0671233953542885,0.5075
high,nonoverlap,VminusC,gain_U_vs_N,400,0.006365726153211047,0.028764480110395473,0.5025
high,nonoverlap,HVminusC,gain_T_vs_U,400,-0.04563604220243481,0.0672586193773273,0.495
high,nonoverlap,HVminusC,gain_T_vs_N,400,-0.06248124968609774,0.06561630940506043,0.465
high,nonoverlap,HVminusC,gain_U_vs_N,400,-0.01684520748366292,0.027535969175784658,0.5025
high,nonoverlap,HVminusV,gain_T_vs_U,400,-0.036743525206499435,0.06296176761991977,0.485
high,nonoverlap,HVminusV,gain_T_vs_N,400,-0.05995445884337338,0.06169710168216942,0.4675
high,nonoverlap,HVminusV,gain_U_vs_N,400,-0.02321093363687396,0.025946097709833832,0.4875
high,nonoverlap,VminusHV,gain_T_vs_U,400,0.036743525206499435,0.06296176761991977,0.515
high,nonoverlap,VminusHV,gain_T_vs_N,400,0.05995445884337338,0.06169710168216942,0.5325
high,nonoverlap,VminusHV,gain_U_vs_N,400,0.02321093363687396,0.025946097709833832,0.5125
high,nonoverlap,HMminusC,gain_T_vs_U,400,-0.3115737104602158,0.06881317972301375,0.4475
high,nonoverlap,HMminusC,gain_T_vs_N,400,-0.33718490233819476,0.06967025834065219,0.415
high,nonoverlap,HMminusC,gain_U_vs_N,400,-0.02561119187797886,0.029528253898174945,0.4625
high,nonoverlap,HMminusHV,gain_T_vs_U,400,-0.265937668257781,0.06260864765522939,0.4075
high,nonoverlap,HMminusHV,gain_T_vs_N,400,-0.27470365265209695,0.05982413088136355,0.42
high,nonoverlap,HMminusHV,gain_U_vs_N,400,-0.008765984394315939,0.028741637517572388,0.47
high,nonoverlap,HVminusHM,gain_T_vs_U,400,0.265937668257781,0.06260864765522939,0.5925
high,nonoverlap,HVminusHM,gain_T_vs_N,400,0.27470365265209695,0.05982413088136355,0.58
high,nonoverlap,HVminusHM,gain_U_vs_N,400,0.008765984394315939,0.028741637517572388,0.53
high,nonoverlap,HMminusV,gain_T_vs_U,400,-0.30268119346428035,0.0588215113610018,0.4125
high,nonoverlap,HMminusV,gain_T_vs_N,400,-0.33465811149547037,0.05933203381546204,0.385
high,nonoverlap,HMminusV,gain_U_vs_N,400,-0.0319769180311899,0.029529571192462876,0.47
high,nonoverlap,HMminusR,gain_T_vs_U,400,0.16510733346241374,0.06448323739058799,0.5225
high,nonoverlap,HMminusR,gain_T_vs_N,400,0.09018860397763395,0.0643136660108792,0.5025
high,nonoverlap,HMminusR,gain_U_vs_N,400,-0.07491872948477978,0.02797399844809889,0.415
high,overlap,RminusC,gain_T_vs_U,400,0.20559057548227425,0.0864284543131846,0.5425
high,overlap,RminusC,gain_T_vs_N,400,0.278214818586542,0.08725769813532022,0.57
high,overlap,RminusC,gain_U_vs_N,400,0.0726242431042677,0.04432065213261671,0.53
high,overlap,VminusC,gain_T_vs_U,400,0.29083660180219645,0.10117607418302166,0.585
high,overlap,VminusC,gain_T_vs_N,400,0.3112470374702631,0.10399843418058563,0.565
high,overlap,VminusC,gain_U_vs_N,400,0.020410435668066683,0.04694107866041546,0.5
high,overlap,HVminusC,gain_T_vs_U,400,0.12727299284088078,0.08304841731159099,0.505
high,overlap,HVminusC,gain_T_vs_N,400,0.06168563512808761,0.08260837671556717,0.485
high,overlap,HVminusC,gain_U_vs_N,400,-0.06558735771279316,0.04607418932321382,0.455
high,overlap,HVminusV,gain_T_vs_U,400,-0.1635636089613157,0.0782321206918484,0.445
high,overlap,HVminusV,gain_T_vs_N,400,-0.2495614023421755,0.0807264160601702,0.4275
high,overlap,HVminusV,gain_U_vs_N,400,-0.08599779338085986,0.044383746376038855,0.47
high,overlap,VminusHV,gain_T_vs_U,400,0.1635636089613157,0.0782321206918484,0.555
high,overlap,VminusHV,gain_T_vs_N,400,0.2495614023421755,0.0807264160601702,0.5725
high,overlap,VminusHV,gain_U_vs_N,400,0.08599779338085986,0.044383746376038855,0.53
high,overlap,HMminusC,gain_T_vs_U,400,0.38899273136727675,0.09155990261002868,0.5925
high,overlap,HMminusC,gain_T_vs_N,400,0.3614353610821611,0.09225632401996892,0.6025
high,overlap,HMminusC,gain_U_vs_N,400,-0.027557370285115523,0.04703111715861577,0.4975
high,overlap,HMminusHV,gain_T_vs_U,400,0.2617197385263959,0.07374261659048713,0.6
high,overlap,HMminusHV,gain_T_vs_N,400,0.29974972595407356,0.06949946154254885,0.5925
high,overlap,HMminusHV,gain_U_vs_N,400,0.038029987427677645,0.04646772398529623,0.5175
high,overlap,HVminusHM,gain_T_vs_U,400,-0.2617197385263959,0.07374261659048713,0.4
