model,arm,seed,data_arm,checkpoint,words,uid,domain,index,official_margin,target2_context_margin,interaction,correct,saved_pred_match
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-dynamics_139,material-dynamics,139,1.484375,-2.0,-0.515625,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-dynamics_337,material-dynamics,337,1.19140625,-0.625,0.56640625,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-dynamics_381,material-dynamics,381,0.90625,-0.375,0.53125,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-dynamics_527,material-dynamics,527,0.890625,-2.21875,-1.328125,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-dynamics_548,material-dynamics,548,-1.59375,3.09765625,1.50390625,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-dynamics_706,material-dynamics,706,-1.5625,1.5078125,-0.0546875,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-dynamics_724,material-dynamics,724,0.125,1.15625,1.28125,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-properties_18,material-properties,18,2.96484375,-3.3399658203125,-0.3751220703125,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-properties_31,material-properties,31,1.25689697265625,-1.55816650390625,-0.30126953125,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-properties_48,material-properties,48,0.9638671875,-0.544921875,0.4189453125,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-properties_62,material-properties,62,0.1181640625,0.068115234375,0.186279296875,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-properties_89,material-properties,89,-2.921142578125,1.4532470703125,-1.4678955078125,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-properties_92,material-properties,92,-3.7664794921875,4.8157958984375,1.04931640625,False,True
