arm_key,contrast_group,model_family,seed,data_role,checkpoint,predictions,split,numops,n_gold_filtered,n_pred,n_scored,correct,score_pp,pred_option0_frac,pred_not_in_options_frac
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,move_contents,2,399,399,399,79,19.79949874686717,0.19799498746867167,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,move_contents,3,406,406,406,103,25.36945812807882,0.2536945812807882,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,move_contents,4,353,353,353,104,29.46175637393768,0.29461756373937675,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,move_contents,5,116,116,116,44,37.93103448275862,0.3793103448275862,0.0
deberta_basin1_repeat,deberta_basin1,DeBERTa,43022,repeat,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_repeat_chck_80M/Entity/chck_80M/full_dose_max_repeat_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,0,508,508,508,175,34.44881889763779,0.34448818897637795,0.0
deberta_basin1_repeat,deberta_basin1,DeBERTa,43022,repeat,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_repeat_chck_80M/Entity/chck_80M/full_dose_max_repeat_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,1,428,428,428,67,15.654205607476635,0.15654205607476634,0.0
deberta_basin1_repeat,deberta_basin1,DeBERTa,43022,repeat,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_repeat_chck_80M/Entity/chck_80M/full_dose_max_repeat_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,2,413,413,413,82,19.854721549636803,0.19854721549636803,0.0
deberta_basin1_repeat,deberta_basin1,DeBERTa,43022,repeat,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_repeat_chck_80M/Entity/chck_80M/full_dose_max_repeat_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,3,409,409,409,79,19.315403422982886,0.19315403422982885,0.0
deberta_basin1_repeat,deberta_basin1,DeBERTa,43022,repeat,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_repeat_chck_80M/Entity/chck_80M/full_dose_max_repeat_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,4,434,434,434,117,26.95852534562212,0.2695852534562212,0.0
deberta_basin1_repeat,deberta_basin1,DeBERTa,43022,repeat,chck_80M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_repeat_chck_80M/Entity/chck_80M/full_dose_max_repeat_chck_80M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,5,123,123,123,30,24.390243902439025,0.24390243902439024,0.0
