contrast,arm_a,arm_b,checkpoint,words,quantity,missing_a,missing_b
D2_VminusR,D2_V,D2_R,chck_70M,70000000,EWoK_plus_Entity_sum,True,True
D2_VminusR,D2_V,D2_R,chck_80M,80000000,BLiMP,True,True
D2_VminusR,D2_V,D2_R,chck_80M,80000000,Supplement,True,True
D2_VminusR,D2_V,D2_R,chck_80M,80000000,EWoK,True,True
D2_VminusR,D2_V,D2_R,chck_80M,80000000,COMPS,True,True
D2_VminusR,D2_V,D2_R,chck_80M,80000000,Reading,True,True
D2_VminusR,D2_V,D2_R,chck_80M,80000000,cheap6_no_GlobalPIQA,True,True
D2_VminusR,D2_V,D2_R,chck_80M,80000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_VminusR,D2_V,D2_R,chck_80M,80000000,exEntity5,True,True
D2_VminusR,D2_V,D2_R,chck_80M,80000000,exEntity4_noReading,True,True
D2_VminusR,D2_V,D2_R,chck_80M,80000000,EWoK_plus_Entity_sum,True,True
D2_VminusR,D2_V,D2_R,chck_90M,90000000,BLiMP,True,True
D2_VminusR,D2_V,D2_R,chck_90M,90000000,Supplement,True,True
D2_VminusR,D2_V,D2_R,chck_90M,90000000,EWoK,True,True
D2_VminusR,D2_V,D2_R,chck_90M,90000000,COMPS,True,True
D2_VminusR,D2_V,D2_R,chck_90M,90000000,Reading,True,True
D2_VminusR,D2_V,D2_R,chck_90M,90000000,cheap6_no_GlobalPIQA,True,True
D2_VminusR,D2_V,D2_R,chck_90M,90000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_VminusR,D2_V,D2_R,chck_90M,90000000,exEntity5,True,True
D2_VminusR,D2_V,D2_R,chck_90M,90000000,exEntity4_noReading,True,True
D2_VminusR,D2_V,D2_R,chck_90M,90000000,EWoK_plus_Entity_sum,True,True
D2_VminusR,D2_V,D2_R,chck_100M,100000000,BLiMP,True,True
D2_VminusR,D2_V,D2_R,chck_100M,100000000,Supplement,True,True
D2_VminusR,D2_V,D2_R,chck_100M,100000000,EWoK,True,True
D2_VminusR,D2_V,D2_R,chck_100M,100000000,COMPS,True,True
D2_VminusR,D2_V,D2_R,chck_100M,100000000,Reading,True,True
D2_VminusR,D2_V,D2_R,chck_100M,100000000,cheap6_no_GlobalPIQA,True,True
D2_VminusR,D2_V,D2_R,chck_100M,100000000,cheap5_no_GlobalPIQA_Reading,True,True
D2_VminusR,D2_V,D2_R,chck_100M,100000000,exEntity5,True,True
D2_VminusR,D2_V,D2_R,chck_100M,100000000,exEntity4_noReading,True,True
D2_VminusR,D2_V,D2_R,chck_100M,100000000,EWoK_plus_Entity_sum,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_10M,10000000,BLiMP,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_10M,10000000,Supplement,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_10M,10000000,EWoK,True,True
D2_VminusCmax,D2_V,D2_Cmax,chck_10M,10000000,Entity,True,True
