target_word,n_contexts,coherent86,dense_seed62064,dense_seed62065,d64_minus_coherent,d65_minus_coherent,d65_minus_d64,cdi_final_30m,cdi_mean_16_30m,cdi_first_month_ge_0p5
duck,17,9.998177079593434,10.325586038477281,10.331486533669864,0.3274089588838465,0.33330945407643037,0.005900495192583869,0.86,0.7086666666666667,19.0
dump,20,11.591176271438599,11.722652959823609,11.747633838653565,0.13147668838500975,0.15645756721496581,0.024980878829956053,0.39,0.18533333333333332,
ear,20,8.607480037212373,8.906426107883453,8.929994153976441,0.29894607067108153,0.3225141167640686,0.02356804609298706,0.88,0.7040000000000001,19.0
eat,20,6.224469220638275,6.419812607765198,6.397158163785934,0.19534338712692262,0.1726889431476593,-0.022654443979263306,0.86,0.62,21.0
egg,20,8.97555594444275,9.349270486831665,9.372990131378174,0.373714542388916,0.3974341869354248,0.023719644546508788,0.79,0.5273333333333333,23.0
elephant,14,12.29061188016619,12.765538760593959,12.778953347887311,0.47492688042776926,0.48834146772112164,0.0134145872933524,0.82,0.5006666666666667,23.0
empty,20,8.998961138725281,9.195625710487366,9.214524817466735,0.19666457176208496,0.21556367874145507,0.01889910697937012,0.61,0.3093333333333333,27.0
eye,20,7.5185355067253115,7.862413394451141,7.879935216903687,0.34387788772583006,0.36139971017837524,0.017521822452545167,0.91,0.7593333333333334,18.0
face,20,8.100673842430115,8.07709014415741,8.09339382648468,-0.023583698272705077,-0.00728001594543457,0.01630368232727051,0.77,0.4373333333333333,24.0
fall,20,7.185867691040039,7.137284719944001,7.1263583421707155,-0.04858297109603882,-0.05950934886932373,-0.010926377773284913,0.76,0.442,24.0
