arm,checkpoint,seed,role,probe_family,span_len,pair_id,mask_occurrence,source_pair_id,body_len,seq_len,repeated_nll,unrepeated_nll,copy_gain
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:173:compact:frontier_consolidation_fwcompact_medium_007940,companion,compact:frontier_consolidation_fwcompact_medium_007940,57,59,0.05041084438562393,17.554895401000977,17.504484556615353
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:174:compact:frontier_consolidation_fwcompact_medium_057788,companion,compact:frontier_consolidation_fwcompact_medium_057788,58,60,0.005604980513453484,6.335930824279785,6.330325843766332
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:175:compact:frontier_consolidation_fwcompact_medium_033162,companion,compact:frontier_consolidation_fwcompact_medium_033162,65,67,1.0252685546875,8.259407043457031,7.234138488769531
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:176:compact:frontier_consolidation_fwcompact_medium_037110,companion,compact:frontier_consolidation_fwcompact_medium_037110,46,48,0.004773411434143782,0.2762737572193146,0.2715003457851708
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:177:compact:frontier_consolidation_fwcompact_medium_044026,companion,compact:frontier_consolidation_fwcompact_medium_044026,86,88,0.004436175338923931,0.40365833044052124,0.3992221551015973
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:178:compact:frontier_consolidation_fwcompact_medium_002529,companion,compact:frontier_consolidation_fwcompact_medium_002529,59,61,0.04252293333411217,8.407201766967773,8.364678833633661
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:179:compact:frontier_consolidation_fwcompact_medium_033407,companion,compact:frontier_consolidation_fwcompact_medium_033407,36,38,0.019295956939458847,4.641891002655029,4.6225950457155704
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:17:compact:frontier_consolidation_fwcompact_medium_010715,companion,compact:frontier_consolidation_fwcompact_medium_010715,41,43,0.015835247933864594,0.017475906759500504,0.00164065882563591
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:180:compact:frontier_consolidation_fwcompact_medium_010027,companion,compact:frontier_consolidation_fwcompact_medium_010027,46,48,0.2622687816619873,12.46738338470459,12.205114603042603
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:181:compact:frontier_consolidation_fwcompact_medium_051203,companion,compact:frontier_consolidation_fwcompact_medium_051203,50,52,0.11179642379283905,16.749370574951172,16.637574151158333
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:182:compact:frontier_consolidation_fwcompact_medium_040823,companion,compact:frontier_consolidation_fwcompact_medium_040823,80,82,0.008746291510760784,6.765449047088623,6.756702755577862
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:183:compact:frontier_consolidation_fwcompact_medium_053930,companion,compact:frontier_consolidation_fwcompact_medium_053930,45,47,0.009548942558467388,14.65658187866211,14.647032936103642
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:184:compact:frontier_consolidation_fwcompact_medium_038336,companion,compact:frontier_consolidation_fwcompact_medium_038336,47,49,0.061919208616018295,0.054297834634780884,-0.0076213739812374115
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:185:compact:frontier_consolidation_fwcompact_medium_006301,companion,compact:frontier_consolidation_fwcompact_medium_006301,31,33,0.016859186813235283,7.828372001647949,7.811512814834714
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:186:compact:frontier_consolidation_fwcompact_medium_046716,companion,compact:frontier_consolidation_fwcompact_medium_046716,41,43,0.021179579198360443,16.821840286254883,16.800660707056522
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:187:compact:frontier_consolidation_fwcompact_medium_025854,companion,compact:frontier_consolidation_fwcompact_medium_025854,96,98,0.01877419278025627,18.142759323120117,18.12398513033986
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:188:compact:frontier_consolidation_fwcompact_medium_055017,companion,compact:frontier_consolidation_fwcompact_medium_055017,58,60,3.1508700847625732,8.456698417663574,5.305828332901001
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:189:compact:frontier_consolidation_fwcompact_medium_005102,companion,compact:frontier_consolidation_fwcompact_medium_005102,52,54,0.0296543687582016,8.708306312561035,8.678651943802834
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:18:compact:frontier_consolidation_fwcompact_medium_049343,companion,compact:frontier_consolidation_fwcompact_medium_049343,54,56,0.007318118121474981,10.717931747436523,10.710613629315048
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:190:compact:frontier_consolidation_fwcompact_medium_006430,companion,compact:frontier_consolidation_fwcompact_medium_006430,54,56,0.22025059163570404,10.46901798248291,10.248767390847206
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:191:compact:frontier_consolidation_fwcompact_medium_028421,companion,compact:frontier_consolidation_fwcompact_medium_028421,34,36,0.14589685201644897,16.67417335510254,16.52827650308609
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:192:compact:frontier_consolidation_fwcompact_medium_044896,companion,compact:frontier_consolidation_fwcompact_medium_044896,33,35,5.06646728515625,8.007505416870117,2.941038131713867
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:193:compact:frontier_consolidation_fwcompact_medium_008185,companion,compact:frontier_consolidation_fwcompact_medium_008185,32,34,0.2135177105665207,10.373664855957031,10.16014714539051
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:194:compact:frontier_consolidation_fwcompact_medium_024762,companion,compact:frontier_consolidation_fwcompact_medium_024762,37,39,0.03365672007203102,0.9925466179847717,0.9588898979127407
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:195:compact:frontier_consolidation_fwcompact_medium_030792,companion,compact:frontier_consolidation_fwcompact_medium_030792,25,27,1.648771047592163,7.197366714477539,5.548595666885376
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:196:compact:frontier_consolidation_fwcompact_medium_003643,companion,compact:frontier_consolidation_fwcompact_medium_003643,93,95,0.012627409771084785,0.01723174937069416,0.004604339599609375
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:197:compact:frontier_consolidation_fwcompact_medium_053938,companion,compact:frontier_consolidation_fwcompact_medium_053938,50,52,0.16800841689109802,15.316431999206543,15.148423582315445
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:198:compact:frontier_consolidation_fwcompact_medium_011630,companion,compact:frontier_consolidation_fwcompact_medium_011630,60,62,0.2171056717634201,12.727991104125977,12.510885432362556
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:199:compact:frontier_consolidation_fwcompact_medium_036669,companion,compact:frontier_consolidation_fwcompact_medium_036669,110,112,0.1759178787469864,11.442049026489258,11.266131147742271
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:19:compact:frontier_consolidation_fwcompact_medium_032403,companion,compact:frontier_consolidation_fwcompact_medium_032403,42,44,0.013022495433688164,0.03594014048576355,0.022917645052075386
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:1:compact:frontier_consolidation_fwcompact_medium_030624,companion,compact:frontier_consolidation_fwcompact_medium_030624,45,47,0.04720735549926758,0.5295004844665527,0.48229312896728516
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:200:compact:frontier_consolidation_fwcompact_medium_046136,companion,compact:frontier_consolidation_fwcompact_medium_046136,48,50,8.37469482421875,7.676915645599365,-0.6977791786193848
