checkpoint,seed,probe_family,span_len,contrast,n,delta_copy_gain_a_minus_b,copy_gain_a,copy_gain_b,delta_repeated_nll_a_minus_b,delta_unrepeated_nll_a_minus_b
chck_90M,43022,random_token_span,4,VminusR,700,0.45318343642433856,7.579283728692681,7.126100292268342,-0.8566885996170877,-0.4035051631927491
chck_90M,43022,random_token_span,8,RminusC,700,0.3232649359466233,9.823140288826876,9.499875352880252,-0.14229923375350007,0.1809657021931237
chck_90M,43022,random_token_span,8,RminusV,700,0.46839746186775777,9.823140288826876,9.354742826959118,-0.044033531982983654,0.4243639298847732
chck_90M,43022,random_token_span,8,CminusV,700,0.14513252592113446,9.499875352880252,9.354742826959118,0.09826570177051641,0.24339822769164954
chck_90M,43022,random_token_span,8,VminusC,700,-0.14513252592113446,9.354742826959118,9.499875352880252,-0.09826570177051641,-0.24339822769164954
chck_90M,43022,random_token_span,8,VminusR,700,-0.46839746186775777,9.354742826959118,9.823140288826876,0.044033531982983654,-0.4243639298847732
chck_90M,43022,random_token_span,ALL,RminusC,2100,-0.03901971538151994,5.833991918031659,5.873011633413179,0.15038084194064094,0.111361126559121
chck_90M,43022,random_token_span,ALL,RminusV,2100,0.011823928115357596,5.833991918031659,5.822167989916301,0.35041660276152875,0.36224053087688723
chck_90M,43022,random_token_span,ALL,CminusV,2100,0.05084364349687753,5.873011633413179,5.822167989916301,0.2000357608208878,0.25087940431776623
chck_90M,43022,random_token_span,ALL,VminusC,2100,-0.05084364349687753,5.822167989916301,5.873011633413179,-0.2000357608208878,-0.25087940431776623
chck_90M,43022,random_token_span,ALL,VminusR,2100,-0.011823928115357596,5.822167989916301,5.833991918031659,-0.35041660276152875,-0.36224053087688723
chck_100M,43022,ALL,1,RminusC,1600,0.44358925442852515,4.1314316036517855,3.6878423492232604,-0.209824313566223,0.2337649408623026
chck_100M,43022,ALL,1,RminusV,1600,0.2888002501599338,4.1314316036517855,3.8426313534918517,-0.16796273626683167,0.12083751389310216
chck_100M,43022,ALL,1,CminusV,1600,-0.15478900426859132,3.6878423492232604,3.8426313534918517,0.04186157729939133,-0.11292742696920044
chck_100M,43022,ALL,1,VminusC,1600,0.15478900426859132,3.8426313534918517,3.6878423492232604,-0.04186157729939133,0.11292742696920044
chck_100M,43022,ALL,1,VminusR,1600,-0.2888002501599338,3.8426313534918517,4.1314316036517855,0.16796273626683167,-0.12083751389310216
chck_100M,43022,ALL,4,RminusC,1600,0.05319089081911965,6.602625279481822,6.549434388662703,0.16191918175583364,0.2151100725749533
chck_100M,43022,ALL,4,RminusV,1600,0.002447720087034533,6.602625279481822,6.600177559394788,0.3478652936051412,0.3503130136921744
chck_100M,43022,ALL,4,CminusV,1600,-0.05074317073208512,6.549434388662703,6.600177559394788,0.18594611184930754,0.1352029411172211
chck_100M,43022,ALL,4,VminusC,1600,0.05074317073208512,6.600177559394788,6.549434388662703,-0.18594611184930754,-0.1352029411172211
chck_100M,43022,ALL,4,VminusR,1600,-0.002447720087034533,6.600177559394788,6.602625279481822,-0.3478652936051412,-0.3503130136921744
chck_100M,43022,ALL,8,RminusC,1600,0.2691355606944352,7.14915294650802,6.880017385813585,-0.14778960943725905,0.12134595125717773
chck_100M,43022,ALL,8,RminusV,1600,0.28882103668407577,7.14915294650802,6.860331909823945,-0.05974902987479713,0.22907200680927886
chck_100M,43022,ALL,8,CminusV,1600,0.019685475989640544,6.880017385813585,6.860331909823945,0.08804057956246192,0.10772605555210113
chck_100M,43022,ALL,8,VminusC,1600,-0.019685475989640544,6.860331909823945,6.880017385813585,-0.08804057956246192,-0.10772605555210113
chck_100M,43022,ALL,8,VminusR,1600,-0.28882103668407577,6.860331909823945,7.14915294650802,0.05974902987479713,-0.22907200680927886
chck_100M,43022,ALL,ALL,RminusC,4800,0.2553052353140268,5.961069943213876,5.705764707899849,-0.06523158041588273,0.19007365489814454
chck_100M,43022,ALL,ALL,RminusV,4800,0.19335633564368138,5.961069943213876,5.767713607570195,0.040051175821171014,0.2334075114648524
chck_100M,43022,ALL,ALL,CminusV,4800,-0.06194889967034545,5.705764707899849,5.767713607570195,0.10528275623705374,0.04333385656670785
chck_100M,43022,ALL,ALL,VminusC,4800,0.06194889967034545,5.767713607570195,5.705764707899849,-0.10528275623705374,-0.04333385656670785
chck_100M,43022,ALL,ALL,VminusR,4800,-0.19335633564368138,5.767713607570195,5.961069943213876,-0.040051175821171014,-0.2334075114648524
chck_100M,43022,actual_packet_source_repeat,1,RminusC,900,0.7818017897289407,6.921135656496408,6.139333866767467,-0.4778621406160204,0.3039396491129205
chck_100M,43022,actual_packet_source_repeat,1,RminusV,900,0.509855183790763,6.921135656496408,6.411280472705645,-0.46556075692703114,0.04429442686373175
chck_100M,43022,actual_packet_source_repeat,1,CminusV,900,-0.27194660593817765,6.139333866767467,6.411280472705645,0.012301383688989254,-0.25964522224918873
chck_100M,43022,actual_packet_source_repeat,1,VminusC,900,0.27194660593817765,6.411280472705645,6.139333866767467,-0.012301383688989254,0.25964522224918873
chck_100M,43022,actual_packet_source_repeat,1,VminusR,900,-0.509855183790763,6.411280472705645,6.921135656496408,0.46556075692703114,-0.04429442686373175
chck_100M,43022,actual_packet_source_repeat,4,RminusC,900,0.5596781572143739,6.326603954834774,5.7669257976204005,-0.2511834413790509,0.30849471583532306
chck_100M,43022,actual_packet_source_repeat,4,RminusV,900,0.4985064418835661,6.326603954834774,5.828097512951208,-0.17572980392413023,0.3227766379594357
chck_100M,43022,actual_packet_source_repeat,4,CminusV,900,-0.061171715330807785,5.7669257976204005,5.828097512951208,0.07545363745492067,0.014281922124112612
chck_100M,43022,actual_packet_source_repeat,4,VminusC,900,0.061171715330807785,5.828097512951208,5.7669257976204005,-0.07545363745492067,-0.014281922124112612
chck_100M,43022,actual_packet_source_repeat,4,VminusR,900,-0.4985064418835661,5.828097512951208,6.326603954834774,0.17572980392413023,-0.3227766379594357
chck_100M,43022,actual_packet_source_repeat,8,RminusC,900,0.2848692268296551,5.173095456531575,4.88822622970192,-0.24397453409428835,0.04089469273536661
