arm,checkpoint,seed,role,probe_family,span_len,n,mean_copy_gain,sd_copy_gain,se_copy_gain,mean_repeated_nll,mean_unrepeated_nll
D_C_43122,chck_90M,43122,C,ALL,ALL,4800,5.754272058922491,4.736792025289264,0.06836970377240073,3.1546736814210727,8.908945740343563
D_C_43122,chck_90M,43122,C,actual_packet_source_repeat,1,900,6.046675199432486,5.009406883084046,0.16698022943613486,0.5526938624647382,6.5993690618972245
D_C_43122,chck_90M,43122,C,actual_packet_source_repeat,4,900,5.634479004305257,4.129197905285194,0.13763993017617313,0.3037432579188478,5.938222262224105
D_C_43122,chck_90M,43122,C,actual_packet_source_repeat,8,900,4.950345527299424,3.717778105582353,0.1239259368527451,0.27000067068029443,5.220346197979719
D_C_43122,chck_90M,43122,C,actual_packet_source_repeat,ALL,2700,5.543833243679056,4.34279483971355,0.08357712565813119,0.37547926368796014,5.919312507367016
D_C_43122,chck_90M,43122,C,random_token_span,1,700,0.5162423557043075,1.1024367266429964,0.04166819164116376,12.205203004820007,12.721445360524314
D_C_43122,chck_90M,43122,C,random_token_span,4,700,7.654592322265463,4.1735997822698545,0.1577472442257051,5.0401105393841865,12.694702861649649
D_C_43122,chck_90M,43122,C,random_token_span,8,700,9.903674071879525,3.7468723667253876,0.14161846395221972,2.938457397029602,12.842131468909127
D_C_43122,chck_90M,43122,C,random_token_span,ALL,2100,6.024836249949765,5.187145933527917,0.11319280419606693,6.727923647077931,12.752759897027698
D_R_43022,chck_100M,43022,R,ALL,1,1600,4.1314316036517855,5.2892878565817965,0.13223219641454492,5.293697846284763,9.425129449936549
D_R_43022,chck_100M,43022,R,ALL,4,1600,6.602625279481822,4.444004317450602,0.11110010793626506,2.5167349250511095,9.119360204532931
D_R_43022,chck_100M,43022,R,ALL,8,1600,7.14915294650802,4.445452318529835,0.11113630796324588,1.255205911316516,8.404358857824537
D_R_43022,chck_100M,43022,R,ALL,ALL,4800,5.961069943213876,4.921331041003418,0.07103329503236461,3.0218795608841296,8.982949504098006
D_R_43022,chck_100M,43022,R,actual_packet_source_repeat,1,900,6.921135656496408,5.521121422402482,0.18403738074674938,0.04247412154189886,6.963609778038307
D_R_43022,chck_100M,43022,R,actual_packet_source_repeat,4,900,6.326603954834774,4.541388227508124,0.15137960758360414,0.037605975611974526,6.364209930446749
D_R_43022,chck_100M,43022,R,actual_packet_source_repeat,8,900,5.173095456531575,3.806394338716975,0.12687981129056583,0.0216847977514327,5.194780254283008
D_R_43022,chck_100M,43022,R,actual_packet_source_repeat,ALL,2700,6.140278355954253,4.73200185859436,0.09106741822884211,0.03392163163510203,6.174199987589355
D_R_43022,chck_100M,43022,R,random_token_span,1,700,0.5446692499944142,1.3723771365730022,0.05187098011947271,12.045271206668446,12.589940456662859
D_R_43022,chck_100M,43022,R,random_token_span,4,700,6.957509839742311,4.289549349907632,0.16212972594849112,5.704186431472855,12.661696271215167
D_R_43022,chck_100M,43022,R,random_token_span,8,700,9.68979829076345,3.8815979793778466,0.1467106134709229,2.8411616287573374,12.530959919520788
D_R_43022,chck_100M,43022,R,random_token_span,ALL,2100,5.730659126833392,5.145382787755697,0.11228145764006373,6.863539755632879,12.594198882466271
D_R_43022,chck_80M,43022,R,ALL,1,1600,4.142039981692105,5.280634252807217,0.13201585632018042,5.249627072132407,9.391667053824513
D_R_43022,chck_80M,43022,R,ALL,4,1600,6.472544663710485,4.4317726496734835,0.11079431624183708,2.645007635448367,9.117552299158852
D_R_43022,chck_80M,43022,R,ALL,8,1600,7.097860333779493,4.381746367316373,0.10954365918290931,1.2992419035719172,8.39710223735141
D_R_43022,chck_80M,43022,R,ALL,ALL,4800,5.9041483263940275,4.884617239495303,0.07050337695277249,3.064625537050897,8.968773863444925
D_R_43022,chck_80M,43022,R,actual_packet_source_repeat,1,900,6.961104545647912,5.466460357713849,0.18221534525712832,0.045810154446678804,7.006914700094591
D_R_43022,chck_80M,43022,R,actual_packet_source_repeat,4,900,6.414397935284033,4.545750411625947,0.15152501372086488,0.03978846335826044,6.4541863986422925
D_R_43022,chck_80M,43022,R,actual_packet_source_repeat,8,900,5.260149752948253,3.8075212067428703,0.12691737355809568,0.02166600640621861,5.281815759354472
D_R_43022,chck_80M,43022,R,actual_packet_source_repeat,ALL,2700,6.2118840779600655,4.709967968187876,0.0906433758102595,0.03575487473705262,6.247638952697119
D_R_43022,chck_80M,43022,R,random_token_span,1,700,0.5175283994632108,1.400925999823903,0.052950025724836626,11.94024882344263,12.45777722290584
D_R_43022,chck_80M,43022,R,random_token_span,4,700,6.547304743115923,4.2796122485667265,0.16175413882133569,5.99457514242136,12.541879885537284
D_R_43022,chck_80M,43022,R,random_token_span,8,700,9.460631080562514,3.9142019649806103,0.14794292829455782,2.941839485642101,12.402470566204617
D_R_43022,chck_80M,43022,R,random_token_span,ALL,2100,5.5084880743805495,5.073030145351313,0.11070259354221534,6.958887817168697,12.467375891549247
D_R_43022,chck_90M,43022,R,ALL,1,1600,4.175968883640403,5.329594760507195,0.13323986901267987,5.300019721082212,9.475988604722616
D_R_43022,chck_90M,43022,R,ALL,4,1600,6.702771423951942,4.47566727883855,0.11189168197096375,2.4489850126633086,9.151756436615251
D_R_43022,chck_90M,43022,R,ALL,8,1600,7.2234495016875915,4.483857216945384,0.1120964304236346,1.2063486754028236,8.429798177090415
D_R_43022,chck_90M,43022,R,ALL,ALL,4800,6.034063269759979,4.961702610863731,0.0716160084505261,2.985117803049448,9.019181072809427
D_R_43022,chck_90M,43022,R,actual_packet_source_repeat,1,900,6.994039547472017,5.549542021124246,0.18498473403747487,0.04156564788816063,7.035605195360177
D_R_43022,chck_90M,43022,R,actual_packet_source_repeat,4,900,6.3735156374836315,4.568918027841663,0.15229726759472212,0.03693413561440037,6.410449773098032
D_R_43022,chck_90M,43022,R,actual_packet_source_repeat,8,900,5.201467778357037,3.8203377109959744,0.12734459036653248,0.020561097889537146,5.222028876246574
D_R_43022,chck_90M,43022,R,actual_packet_source_repeat,ALL,2700,6.189674321104229,4.758317701090883,0.09157386685381942,0.033020293797366054,6.222694614901594
D_R_43022,chck_90M,43022,R,random_token_span,1,700,0.5527351729997567,1.4105762313427195,0.053314770191879274,12.060889243760279,12.613624416760036
D_R_43022,chck_90M,43022,R,random_token_span,4,700,7.126100292268342,4.316088147452704,0.1631327982113333,5.550193283154762,12.676293575423104
D_R_43022,chck_90M,43022,R,random_token_span,8,700,9.823140288826876,3.8954249815873987,0.14723322503126599,2.730932703634192,12.554072992461068
D_R_43022,chck_90M,43022,R,random_token_span,ALL,2100,5.833991918031659,5.204715796599644,0.11357621004119169,6.780671743516411,12.61466366154807
D_R_43122,chck_100M,43122,R,ALL,1,1600,4.1494054999736365,5.404824266890377,0.13512060667225942,5.210757491827962,9.360162991801598
D_R_43122,chck_100M,43122,R,ALL,4,1600,6.9303630199581265,4.263004274439525,0.10657510686098812,2.1366521851909464,9.067015205149072
D_R_43122,chck_100M,43122,R,ALL,8,1600,7.152934355232976,4.272275522835828,0.1068068880708957,1.1699330304605724,8.322867385693549
D_R_43122,chck_100M,43122,R,ALL,ALL,4800,6.077567625054913,4.873026154708484,0.07033607405472574,2.839114235826494,8.916681860881408
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,1,900,7.029177903793461,5.691016866121697,0.18970056220405657,0.05775934185753512,7.086937245650996
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,4,900,6.491301798015605,4.511665497998726,0.15038884993329085,0.0511265044388468,6.542428302454452
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,8,900,5.297431144096776,3.9365717806568608,0.13121905935522868,0.03008727497145123,5.327518419068228
D_R_43122,chck_100M,43122,R,actual_packet_source_repeat,ALL,2700,6.272636948635281,4.823919250808737,0.0928363692667814,0.04632437375594438,6.3189613223912255
D_R_43122,chck_100M,43122,R,random_token_span,1,700,0.4468409807767187,0.8704891030094903,0.032901395507925695,11.836040827504226,12.282881808280944
D_R_43122,chck_100M,43122,R,random_token_span,4,700,7.494870305312798,3.8472532850202423,0.1454125060405694,4.818042346157932,12.312912651470729
D_R_43122,chck_100M,43122,R,random_token_span,8,700,9.538581340979519,3.4172424878827434,0.12915962560773417,2.635449001803728,12.174030342783247
D_R_43122,chck_100M,43122,R,random_token_span,ALL,2100,5.826764209023011,4.924103764474552,0.10745275347867447,6.429844058488628,12.25660826751164
D_R_43122,chck_80M,43122,R,ALL,1,1600,4.17592444326639,5.435970538790047,0.13589926346975117,5.267291016605355,9.443215459871745
D_R_43122,chck_80M,43122,R,ALL,4,1600,6.682669858736308,4.266588319941701,0.10666470799854252,2.3837368086862534,9.066406667422562
D_R_43122,chck_80M,43122,R,ALL,8,1600,6.994922360530279,4.264176562598771,0.10660441406496927,1.3188970433464307,8.31381940387671
D_R_43122,chck_80M,43122,R,ALL,ALL,4800,5.951172220844326,4.854989226476353,0.07007573342047138,2.9899749562126794,8.941147177057005
D_R_43122,chck_80M,43122,R,actual_packet_source_repeat,1,900,7.087248597871989,5.705021781749839,0.19016739272499464,0.06685426372396856,7.154102861595958
D_R_43122,chck_80M,43122,R,actual_packet_source_repeat,4,900,6.422594780158203,4.496909806269285,0.14989699354230948,0.055049161952968766,6.477643942111172
D_R_43122,chck_80M,43122,R,actual_packet_source_repeat,8,900,5.235242320866912,3.9144518138013864,0.13048172712671288,0.03370539158955782,5.26894771245647
D_R_43122,chck_80M,43122,R,actual_packet_source_repeat,ALL,2700,6.248361899632368,4.82538093862552,0.09286449946193111,0.051869605755498385,6.300231505387866
D_R_43122,chck_80M,43122,R,random_token_span,1,700,0.4327933873449053,0.8873285503606083,0.033537866792308885,11.953566841738565,12.38636022908347
D_R_43122,chck_80M,43122,R,random_token_span,4,700,7.017052102622443,3.925542768743825,0.14837157038634427,5.3777637830576195,12.394815885680062
D_R_43122,chck_80M,43122,R,random_token_span,8,700,9.257368125811752,3.572233007624274,0.13501771661928755,2.9712863098909814,12.228654435702733
D_R_43122,chck_80M,43122,R,random_token_span,ALL,2100,5.5690712052597,4.866196986092496,0.10618912397778493,6.767538978229055,12.336610183488755
D_R_43122,chck_90M,43122,R,ALL,1,1600,4.148708706333273,5.39132572726115,0.13478314318152876,5.226768696719664,9.375477403052937
D_R_43122,chck_90M,43122,R,ALL,4,1600,6.931848461105132,4.274711576580048,0.10686778941450119,2.1590645031575466,9.09091296426268
D_R_43122,chck_90M,43122,R,ALL,8,1600,7.172173308758215,4.284137188760424,0.10710342971901059,1.1736936551121744,8.345866963870389
D_R_43122,chck_90M,43122,R,ALL,ALL,4800,6.08424349206554,4.8765323741659135,0.07038668197341537,2.853175618329795,8.937419110395336
D_R_43122,chck_90M,43122,R,actual_packet_source_repeat,1,900,7.024629869631544,5.669218254187872,0.18897394180626242,0.058949899676566324,7.08357976930811
