endpoint,word,child_aoa,model_aoa_log10_step,n_subword_tokens,n_points,first_step,last_step
control,toast,24.044372357030184,7.434518565760575,1,12,1000000.0,30000000.0
control,today,29.606093090564784,6.968663025814682,1,12,1000000.0,30000000.0
control,toe,21.395570001766806,7.1996773325027466,1,12,1000000.0,30000000.0
control,tongue,23.45827047984588,6.965385003256034,1,12,1000000.0,30000000.0
control,toothbrush,21.901510940070903,6.951206392040287,3,12,1000000.0,30000000.0
control,touch,26.191196798431903,7.269370275007007,1,12,1000000.0,30000000.0
control,towel,23.4306490143011,7.089310188215365,1,12,1000000.0,30000000.0
control,train,21.08687529603096,7.173914762761383,1,12,1000000.0,30000000.0
control,trash,24.991016369949445,6.954142448728937,2,12,1000000.0,30000000.0
control,tree,20.777050994395196,6.912800089264687,1,12,1000000.0,30000000.0
control,truck,19.835819314022853,7.063146295136413,1,12,1000000.0,30000000.0
control,tummy,21.512549094910526,7.329050548987677,1,12,1000000.0,30000000.0
control,uncle,26.177142576410148,6.937097923828317,1,12,1000000.0,30000000.0
control,vitamins,29.851211676176195,7.411177069867388,1,12,1000000.0,30000000.0
control,wait,26.10356767864079,6.80166179407433,1,12,1000000.0,30000000.0
control,walk,22.875757281123708,6.908014071647797,1,12,1000000.0,30000000.0
control,wash,23.84021130656202,7.453229039833037,1,12,1000000.0,30000000.0
control,wet,22.701452718509607,7.172834685367017,1,12,1000000.0,30000000.0
control,white,26.40244979152026,6.67530371996625,1,12,1000000.0,30000000.0
control,wind,26.109702397075804,6.880136737577744,1,12,1000000.0,30000000.0
control,window,24.902760458259664,6.767440316845139,1,12,1000000.0,30000000.0
control,windy,27.379365497599913,6.258833528328077,2,12,1000000.0,30000000.0
control,write,28.395648019984414,6.892658429267161,1,12,1000000.0,30000000.0
control,yard,29.20563666993601,7.348777643813857,1,12,1000000.0,30000000.0
control,yellow,23.813112283182036,6.732035100861467,1,12,1000000.0,30000000.0
control,zipper,24.876762898753164,7.106879233730787,2,12,1000000.0,30000000.0
