arm,word,z_mean_subword,child_aoa,control_model_aoa_log10_step,arm_model_aoa_log10_step,delta_model_aoa_log10_step,beneficial_for_childes_enriched_words_if_negative,control_n_points,arm_n_points
schedule,game,1.1677990420124096,26.554617597246853,6.938283654488839,6.959206480448191,0.020922825959351243,0.020922825959351243,12,12
schedule,get,1.4126645789070769,24.364636413972246,6.701658479608453,6.398712890827922,-0.30294558878053035,-0.30294558878053035,12,12
schedule,give,1.2962414813865564,25.598843914428592,6.722652500236225,6.59622642630692,-0.12642607392930483,-0.12642607392930483,12,12
schedule,glass,1.3598438680134783,26.12412706803039,6.94108871222761,6.870729197524963,-0.07035951470264656,-0.07035951470264656,12,12
schedule,go,1.4224040781648326,19.7106217091394,6.502431975601951,6.007867221377932,-0.4945647542240188,-0.4945647542240188,12,12
schedule,grass,1.0432740305190022,23.607923804559615,6.591638539495575,6.9307350758299755,0.3390965363344005,0.3390965363344005,12,12
schedule,green,1.3676137480807986,24.21157425029654,6.846960714896573,6.278487880943976,-0.5684728339525975,-0.5684728339525975,12,12
schedule,hair,1.438004747270013,19.9970789541941,6.8968074274351086,6.26583167498829,-0.6309757524468189,-0.6309757524468189,12,12
schedule,hand,1.209276188014108,21.18568722469747,6.772612923880118,6.755222253946954,-0.01739066993316385,-0.01739066993316385,12,12
schedule,happy,1.1304400700669188,23.945755954119555,6.813830067680654,6.78117455740922,-0.032655510271434096,-0.032655510271434096,12,12
schedule,hard,1.0426323399815243,28.11969960472,6.774071121291152,6.805861560694498,0.031790439403345694,0.031790439403345694,12,12
schedule,have,1.1651002190016646,25.902575376900778,6.126562850421264,6.336611396648697,0.21004854622743352,0.21004854622743352,12,12
schedule,hear,1.2564450002537373,26.993574492322516,6.796059576286164,6.768075495779587,-0.027984080506577413,-0.027984080506577413,12,12
schedule,help,1.1510833146884905,22.549129293001915,6.780134227396943,6.827196498876786,0.04706227147984254,0.04706227147984254,12,12
schedule,hide,1.1019034107176224,25.18501031653013,6.8596369882564385,6.98310854256921,0.12347155431277113,0.12347155431277113,12,12
schedule,high,1.0675793837982952,26.708808302132432,6.8380180351438655,6.749859828761737,-0.08815820638212823,-0.08815820638212823,12,12
schedule,hold,1.33341485206873,25.248945239146906,6.876454794213496,6.287757102430249,-0.5886976917832465,-0.5886976917832465,12,12
schedule,home,1.1667533626607778,21.78006375395454,6.489122841642989,6.798050627931718,0.30892778628872897,0.30892778628872897,12,12
