family,seed,checkpoint,contrast,source,n_sentences,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain
dose,43022,chck_100M,dose25-minus-dose21,open_subtitles,120,0.08602606784734235,-0.18581534948849973,-0.27184141733584205,0.08424828414201985
dose,43022,chck_100M,dose25-minus-dose21,simple_wiki,115,0.028030911266155863,0.21901119831423072,0.19098028704807488,0.07511480832581437
dose,43022,chck_100M,dose25-minus-dose21,switchboard,51,-0.1003109885781419,-0.23442368042271802,-0.13411269184457614,0.1186963805076641
dose,43122,chck_100M,dose21-minus-base0,bnc_spoken,120,-0.007217911439753758,0.07697488284223558,0.08419279428198934,0.0706564528955173
dose,43122,chck_100M,dose21-minus-base0,childes,113,-0.025937029920454074,-0.1293466460026533,-0.10340961608219922,0.07671865677809295
dose,43122,chck_100M,dose21-minus-base0,gutenberg,120,-0.049027770726146024,-0.043124945226009,0.005902825500137017,0.07535696983898756
dose,43122,chck_100M,dose21-minus-base0,open_subtitles,120,0.08978801861558168,-0.06218664977544298,-0.15197466839102466,0.08919108752300994
dose,43122,chck_100M,dose21-minus-base0,simple_wiki,115,-0.023643281464667425,-0.10290180963018666,-0.07925852816551923,0.07723500106619863
dose,43122,chck_100M,dose21-minus-base0,switchboard,51,0.07082653655579277,-0.05824049790481142,-0.1290670344606042,0.1068175901647345
dose,43122,chck_100M,dose25-minus-base0,bnc_spoken,120,-0.03488069212374588,0.05331941774347797,0.08820010986722385,0.07462550344562434
dose,43122,chck_100M,dose25-minus-base0,childes,113,0.024235838533964466,0.033245682690799146,0.00900984415683468,0.087318702059666
dose,43122,chck_100M,dose25-minus-base0,gutenberg,120,-0.002782778967715179,0.0027457193937152624,0.005528498361430442,0.07455165891710673
dose,43122,chck_100M,dose25-minus-base0,open_subtitles,120,0.02672159906166295,-0.06970010530906924,-0.09642170437073219,0.08007833388051432
dose,43122,chck_100M,dose25-minus-base0,simple_wiki,115,0.13553462935530622,-0.00233530395704767,-0.1378699333123539,0.07957741646750768
dose,43122,chck_100M,dose25-minus-base0,switchboard,51,0.06539135846291103,-0.11235098060512659,-0.17774233906803763,0.10720037725116109
dose,43122,chck_100M,dose25-minus-dose21,bnc_spoken,120,-0.02766278068399212,-0.023655465098757607,0.004007315585234513,0.08342490229758417
dose,43122,chck_100M,dose25-minus-dose21,childes,113,0.05017286845441854,0.16259232869345244,0.1124194602390339,0.09383100677960453
dose,43122,chck_100M,dose25-minus-dose21,gutenberg,120,0.046244991758430845,0.04587066461972426,-0.0003743271387065761,0.06825249640659309
dose,43122,chck_100M,dose25-minus-dose21,open_subtitles,120,-0.06306641955391873,-0.0075134555336262565,0.055552964020292465,0.08041940970784145
dose,43122,chck_100M,dose25-minus-dose21,simple_wiki,115,0.15917791081997362,0.10056650567313899,-0.05861140514683464,0.06732102056243355
dose,43122,chck_100M,dose25-minus-dose21,switchboard,51,-0.005435178092881745,-0.054110482700315175,-0.04867530460743343,0.09732705719726961
compact_experience,43022,chck_100M,ALN-minus-OFF,bnc_spoken,120,-0.31866129164312346,0.04428650791620991,0.3629477995593334,0.10891339412224985
compact_experience,43022,chck_100M,ALN-minus-OFF,childes,108,-0.07568202297615143,-0.019696602878024418,0.05598542009812701,0.1229839464041798
compact_experience,43022,chck_100M,ALN-minus-OFF,gutenberg,120,-0.32088320940092674,0.24790043028381964,0.5687836396847463,0.11958839132558811
compact_experience,43022,chck_100M,ALN-minus-OFF,open_subtitles,120,0.05629211519578045,0.30286348218263204,0.2465713669868516,0.09144769707924666
compact_experience,43022,chck_100M,ALN-minus-OFF,simple_wiki,115,-0.33631606210509074,0.09460164873212899,0.43091771083721975,0.10577991080129044
