endpoint,anchor,input_form,source,n_common_sentences_filtered,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain
dense64_u0080,chck82_slow_scale1p75,no_special,childes,106,-0.003210985642016447,0.043184259620366504,0.04639524526238296,0.02189739371697946
dense64_u0080,chck82_slow_scale1p75,no_special,gutenberg,119,0.060334624843906705,0.09830983962957598,0.03797521478566928,0.03444325238690346
dense64_u0080,chck82_slow_scale1p75,no_special,open_subtitles,120,0.03957489138047095,0.10783067600617263,0.06825578462570168,0.030289517232691927
dense64_u0080,chck82_slow_scale1p75,no_special,simple_wiki,108,0.05968467669595999,0.11447356972429487,0.05478889302833489,0.03934996959598608
dense64_u0080,chck82_slow_scale1p75,no_special,switchboard,51,0.039206668698028024,0.014635433972466225,-0.024571234725561795,0.024965757980588078
dense65_u0080,chck82_slow_scale1p75,no_special,bnc_spoken,120,0.02241549885754163,0.09957263280424135,0.07715713394669971,0.03409070197365684
dense65_u0080,chck82_slow_scale1p75,no_special,childes,106,-0.002133847225839006,0.04417908189793278,0.04631292912377178,0.02179894638091813
dense65_u0080,chck82_slow_scale1p75,no_special,gutenberg,119,0.06128362911761183,0.09993562164927731,0.038651992531665486,0.03461165846022799
dense65_u0080,chck82_slow_scale1p75,no_special,open_subtitles,120,0.044105984347940344,0.11008699823238809,0.06598101388444774,0.030517914405587335
dense65_u0080,chck82_slow_scale1p75,no_special,simple_wiki,108,0.06356749111027629,0.11822816891664709,0.05466067780637079,0.03968911529164732
dense65_u0080,chck82_slow_scale1p75,no_special,switchboard,51,0.04277428130016608,0.017335164926800074,-0.025439116373366,0.025120688326172747
chck82_slow_scale1p75,coherent86_alpha075,no_special,bnc_spoken,120,0.021164467559719922,0.0012829015856065478,-0.019881565974113377,0.009688749613321898
chck82_slow_scale1p75,coherent86_alpha075,no_special,childes,106,0.009620200550473799,0.0034642775655536855,-0.0061559229849201145,0.011229832925279926
chck82_slow_scale1p75,coherent86_alpha075,no_special,gutenberg,119,0.011091916575370467,0.009556352074782387,-0.0015355645005880785,0.011018151078354518
chck82_slow_scale1p75,coherent86_alpha075,no_special,open_subtitles,120,0.032581217611732424,0.009529427631059661,-0.023051789980672765,0.01019322090771122
chck82_slow_scale1p75,coherent86_alpha075,no_special,simple_wiki,108,0.0020720407849660625,-0.004578670003899821,-0.006650710788865884,0.009965683364271534
chck82_slow_scale1p75,coherent86_alpha075,no_special,switchboard,51,-0.004019121328989665,0.006041141126450955,0.01006026245544062,0.009718609200662757
clean_pres64_u0080,coherent86_alpha075,no_special,bnc_spoken,120,0.02300901763131454,0.056346800598839765,0.03333778296752522,0.02142616475412645
clean_pres64_u0080,coherent86_alpha075,no_special,childes,106,0.0034794638596172007,0.022285094398851145,0.018805630539233942,0.01368923835382785
clean_pres64_u0080,coherent86_alpha075,no_special,gutenberg,119,0.03664234363740044,0.06819910984955915,0.03155676621215872,0.022635743459470052
