target,frame_id,subtype,alt_a,alt_b,form,delta1,delta2,correct_margin_c1,correct_margin_c2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias,prior_ratio
scale1p75_80M,D_0068,open_closed,open,closed,full_v3,-5.0143443532288074,3.6655731797218323,-5.0143443532288074,-3.6655731797218323,-8.67991753295064,-5.0143443532288074,False,False,False,4.846875
scale1p75_80M,D_0068,open_closed,open,closed,initial_plus_last,-4.630850829184055,3.987095795571804,-4.630850829184055,-3.987095795571804,-8.61794662475586,-4.630850829184055,False,False,False,4.846875
scale1p75_80M,D_0068,open_closed,open,closed,last_event_only,-0.15587711334228516,-2.2953882813453674,-0.15587711334228516,2.2953882813453674,2.1395111680030823,-0.15587711334228516,False,False,True,4.846875
scale1p75_80M,D_0068,open_closed,open,closed,no_context,0.38310718536376953,0.38310718536376953,0.38310718536376953,-0.38310718536376953,0.0,-0.38310718536376953,False,True,False,4.846875
scale1p75_80M,D_0069,open_closed,open,closed,explicit_final_state,6.070178171619773,-4.107492215931416,6.070178171619773,4.107492215931416,10.177670387551188,4.107492215931416,True,False,False,4.846875
scale1p75_80M,D_0069,open_closed,open,closed,full_v3,-4.961099650710821,4.048405505716801,-4.961099650710821,-4.048405505716801,-9.009505156427622,-4.961099650710821,False,False,False,4.846875
scale1p75_80M,D_0069,open_closed,open,closed,initial_plus_last,-4.543367199599743,4.701148945838213,-4.543367199599743,-4.701148945838213,-9.244516145437956,-4.701148945838213,False,False,False,4.846875
scale1p75_80M,D_0069,open_closed,open,closed,last_event_only,-0.3026876449584961,-2.4494980573654175,-0.3026876449584961,2.4494980573654175,2.1468104124069214,-0.3026876449584961,False,False,True,4.846875
scale1p75_80M,D_0069,open_closed,open,closed,no_context,-0.32377147674560547,-0.32377147674560547,-0.32377147674560547,0.32377147674560547,0.0,-0.32377147674560547,False,False,True,4.846875
scale1p75_80M,D_0070,open_closed,open,closed,explicit_final_state,6.1074277721345425,-3.616647720336914,6.1074277721345425,3.616647720336914,9.724075492471457,3.616647720336914,True,False,False,4.846875
scale1p75_80M,D_0070,open_closed,open,closed,full_v3,-4.198702849447727,4.225904360413551,-4.198702849447727,-4.225904360413551,-8.424607209861279,-4.225904360413551,False,False,False,4.846875
scale1p75_80M,D_0070,open_closed,open,closed,initial_plus_last,-3.8698282837867737,4.485332317650318,-3.8698282837867737,-4.485332317650318,-8.355160601437092,-4.485332317650318,False,False,False,4.846875
scale1p75_80M,D_0070,open_closed,open,closed,last_event_only,1.4629707336425781,-1.5575209856033325,1.4629707336425781,1.5575209856033325,3.0204917192459106,1.4629707336425781,True,False,False,4.846875
scale1p75_80M,D_0070,open_closed,open,closed,no_context,0.6434612274169922,0.6434612274169922,0.6434612274169922,-0.6434612274169922,0.0,-0.6434612274169922,False,True,False,4.846875
scale1p75_80M,D_0071,open_closed,open,closed,explicit_final_state,5.113465175032616,-3.237006261944771,5.113465175032616,3.237006261944771,8.350471436977386,3.237006261944771,True,False,False,4.846875
scale1p75_80M,D_0071,open_closed,open,closed,full_v3,-3.938388057053089,3.8315419256687164,-3.938388057053089,-3.8315419256687164,-7.769929982721806,-3.938388057053089,False,False,False,4.846875
scale1p75_80M,D_0071,open_closed,open,closed,initial_plus_last,-3.5362032800912857,3.995361439883709,-3.5362032800912857,-3.995361439883709,-7.531564719974995,-3.995361439883709,False,False,False,4.846875
scale1p75_80M,D_0071,open_closed,open,closed,last_event_only,0.7281551361083984,-2.0064659118652344,0.7281551361083984,2.0064659118652344,2.734621047973633,0.7281551361083984,True,False,False,4.846875
scale1p75_80M,D_0071,open_closed,open,closed,no_context,-0.08724689483642578,-0.08724689483642578,-0.08724689483642578,0.08724689483642578,0.0,-0.08724689483642578,False,False,True,4.846875
scale1p75_80M,D_0072,open_closed,open,closed,explicit_final_state,6.070178171619773,-4.107492215931416,6.070178171619773,4.107492215931416,10.177670387551188,4.107492215931416,True,False,False,4.846875
scale1p75_80M,D_0072,open_closed,open,closed,full_v3,-5.042257461696863,4.015441924333572,-5.042257461696863,-4.015441924333572,-9.057699386030436,-5.042257461696863,False,False,False,4.846875
scale1p75_80M,D_0072,open_closed,open,closed,initial_plus_last,-4.465157661587,4.89384451508522,-4.465157661587,-4.89384451508522,-9.35900217667222,-4.89384451508522,False,False,False,4.846875
scale1p75_80M,D_0072,open_closed,open,closed,last_event_only,0.28177738189697266,-2.5926466286182404,0.28177738189697266,2.5926466286182404,2.874424010515213,0.28177738189697266,True,False,False,4.846875
scale1p75_80M,D_0072,open_closed,open,closed,no_context,-0.32377147674560547,-0.32377147674560547,-0.32377147674560547,0.32377147674560547,0.0,-0.32377147674560547,False,False,True,4.846875
scale1p75_80M,D_0073,open_closed,open,closed,explicit_final_state,6.070178171619773,-4.107492215931416,6.070178171619773,4.107492215931416,10.177670387551188,4.107492215931416,True,False,False,4.846875
scale1p75_80M,D_0073,open_closed,open,closed,full_v3,-5.345559071749449,3.657350465655327,-5.345559071749449,-3.657350465655327,-9.002909537404776,-5.345559071749449,False,False,False,4.846875
scale1p75_80M,D_0073,open_closed,open,closed,initial_plus_last,-4.8004092536866665,4.6137950867414474,-4.8004092536866665,-4.6137950867414474,-9.414204340428114,-4.8004092536866665,False,False,False,4.846875
scale1p75_80M,D_0073,open_closed,open,closed,last_event_only,-0.39095211029052734,-2.189353108406067,-0.39095211029052734,2.189353108406067,1.7984009981155396,-0.39095211029052734,False,False,True,4.846875
