pair_id,source,original_words,rewrite_words,pair_words,len_ratio,content_jaccard_common_def,content_overlap_min_common_def,stored_content_overlap,stored_content_jaccard,longest_common_contiguous_words_common_def
rw2s1_012014,simple_wiki,21,22,43,1.0476190476190477,0.5294117647058824,0.75,0.7857142857142857,,8
rw2s1_016626,simple_wiki,18,19,37,1.0555555555555556,0.625,0.7692307692307693,0.7857142857142857,,11
rw2s0_029751,simple_wiki,42,41,83,0.9761904761904762,0.6956521739130435,0.8421052631578947,0.8095238095238095,,13
rw2s0_008277,simple_wiki,18,18,36,1.0,0.6363636363636364,0.875,0.8888888888888888,,5
rw2s1_019869,bnc_spoken,26,24,50,0.9230769230769231,0.5333333333333333,0.7272727272727273,0.75,,5
rw2s1_018809,gutenberg,26,25,51,0.9615384615384616,0.7272727272727273,0.8888888888888888,0.9090909090909091,,8
rw2s0_012903,gutenberg,32,23,55,0.71875,0.2857142857142857,0.46153846153846156,0.42857142857142855,,3
rw2s0_006397,simple_wiki,19,20,39,1.0526315789473684,0.7857142857142857,0.9166666666666666,0.9090909090909091,,8
rw2s1_014061,bnc_spoken,28,28,56,1.0,0.8461538461538461,0.9166666666666666,0.9230769230769231,,23
rw2s0_000512,gutenberg,20,20,40,1.0,0.7692307692307693,0.9090909090909091,0.9090909090909091,,16
rw2s0_019582,gutenberg,52,50,102,0.9615384615384616,0.7941176470588235,0.9,0.8709677419354839,,40
rw2s0_029612,simple_wiki,38,37,75,0.9736842105263158,0.5,0.6818181818181818,0.6521739130434783,,4
rw2s1_009577,childes,18,17,35,0.9444444444444444,0.1875,0.3333333333333333,0.4,,4
rw2s0_006687,simple_wiki,25,22,47,0.88,0.6470588235294118,0.8461538461538461,0.7857142857142857,,6
rw2s1_028139,simple_wiki,24,24,48,1.0,0.75,1.0,0.9,,12
rw2s1_028191,simple_wiki,19,19,38,1.0,0.8181818181818182,0.9,0.9,,15
rw2s1_016769,gutenberg,44,38,82,0.8636363636363636,0.5517241379310345,0.7272727272727273,0.7083333333333334,,8
rw2s1_032100,bnc_spoken,21,21,42,1.0,0.7777777777777778,0.875,0.9,,15
rw2s0_020830,gutenberg,23,25,48,1.0869565217391304,0.8571428571428571,0.9230769230769231,0.9230769230769231,,5
rw2s1_007734,gutenberg,29,28,57,0.9655172413793104,0.8571428571428571,0.9230769230769231,0.9333333333333333,,20
rw2s1_015568,simple_wiki,23,23,46,1.0,0.8666666666666667,0.9285714285714286,0.9333333333333333,,8
rw2s1_020561,gutenberg,24,24,48,1.0,0.25,0.4444444444444444,0.5,,3
rw2s1_015882,simple_wiki,23,23,46,1.0,0.7692307692307693,0.9090909090909091,0.9090909090909091,,11
rw2s1_024846,simple_wiki,31,28,59,0.9032258064516129,0.42105263157894735,0.6666666666666666,0.6666666666666666,,5
