mode,word,pred_model_aoa,pred_model_status,measured_model_aoa,child_aoa,oracle_only
current,oven,7.050901697338909,ok,7.464501723988421,27.085939648491006,0
current,owl,7.085853430459075,ok,7.497369176259697,23.33001152771118,0
current,paint,7.118882754290643,ok,,26.332309328783996,0
current,pancake,6.8078675500795525,ok,7.340379299371006,24.068571454323198,0
current,pants,,threshold_above_upper_asymptote,,21.936410314208324,0
current,paper,6.970870412890118,ok,6.992769717321313,22.99233148218998,0
current,park,6.9699263264516595,ok,7.011278533482302,22.878206476855862,0
current,party,6.828578887786773,ok,6.774502719629837,25.998215555193525,0
current,peas,7.260872211549548,ok,7.693100493413458,24.90319915475007,0
current,peekaboo,,threshold_above_upper_asymptote,,19.940203977737045,0
current,pen,7.141608401299007,ok,,24.683860647952418,0
current,pencil,,threshold_above_upper_asymptote,,26.157410646038286,0
current,penguin,6.860916318046096,ok,,26.410930852292893,0
current,penny,7.551195053102067,ok,,,0
current,people,,threshold_below_lower_asymptote,6.489754730413168,27.729170763166103,0
current,person,,threshold_below_lower_asymptote,,,0
current,pick,7.04325099042855,ok,,28.31028812070495,0
current,pickle,,threshold_above_upper_asymptote,,27.302972502756642,0
current,picnic,7.269417119052062,ok,,,0
current,picture,6.990161260854417,ok,6.996694425710756,24.12466878869911,0
current,pig,,threshold_above_upper_asymptote,,21.20230905137065,0
current,pillow,,threshold_above_upper_asymptote,,22.865174886366972,0
current,pizza,,threshold_above_upper_asymptote,,21.47922641023574,0
current,plant,7.015164191416539,ok,7.056240705853564,27.17845363579105,0
current,plate,6.990152752559088,ok,7.064608734029831,23.881971479516967,0
current,play,6.7080020301000145,ok,6.919007946701774,22.7220598630656,0
current,playground,6.973572763411092,ok,7.590312073033341,27.30454893601479,0
current,police,6.99770214302116,ok,6.7920832092694035,28.97367753515442,0
current,pony,,threshold_above_upper_asymptote,,,0
current,pool,6.989614171035633,ok,7.007857843782048,23.89664497593775,0
current,poor,6.913333687119756,ok,,,0
current,pop,7.111910674061719,ok,,,0
current,popcorn,,threshold_above_upper_asymptote,7.449459670105915,24.633992570816577,0
current,porch,,threshold_above_upper_asymptote,,,0
current,potato,,threshold_above_upper_asymptote,,25.588497667339652,0
current,potty,6.823014192410923,ok,7.356714549600795,21.289637906455926,0
current,pour,,threshold_above_upper_asymptote,,29.221134877679074,0
current,present,6.944633099268538,ok,6.764039963125825,25.256832955307473,0
current,pretend,7.060342639714537,ok,,,0
current,pretty,6.831260142851886,ok,6.757649407248499,25.930457910420653,0
current,pretzel,,threshold_below_lower_asymptote,6.80538974212662,27.360483906307053,0
current,pudding,,threshold_above_upper_asymptote,,,0
current,pull,6.996791862621153,ok,7.043710316464036,26.217858907282245,0
current,pumpkin,,threshold_above_upper_asymptote,,26.156771484666216,0
current,puppy,,threshold_above_upper_asymptote,,21.310724116497493,0
current,purse,,threshold_above_upper_asymptote,,25.85696928901372,0
current,push,7.1492166219995275,ok,,24.61567138170203,0
current,put,6.657016826974999,ok,,26.847988805835868,0
current,puzzle,,threshold_above_upper_asymptote,,24.23101072594643,0
current,quiet,6.932376296906616,ok,6.8639244850976375,26.982735254027116,0
current,radio,7.026768473088815,ok,,,0
current,rain,7.003312233653138,ok,7.596682465375077,22.292559546340982,0
current,read,6.831887383318628,ok,6.631909101168658,23.095216853951683,0
current,red,,threshold_below_lower_asymptote,6.815927419453885,23.71687667589879,0
current,refrigerator,7.270877088902944,ok,,25.702396416486902,0
current,ride,7.039559262179711,ok,7.096882540438076,24.760593586765484,0
current,rip,,threshold_above_upper_asymptote,,,0
current,rock,6.998731164325695,ok,7.496319211313169,22.67177290650117,0
current,roof,7.072458213583287,ok,,,0
current,room,,threshold_below_lower_asymptote,6.661195674007505,24.722076365420904,0
current,rooster,7.121957798111493,ok,,,0
current,run,6.906908269228004,ok,7.061584026063985,23.46802530452093,0
current,sad,7.0179282779009595,ok,7.475357749248126,26.12385805343161,0
current,salt,6.974000836001633,ok,,,0
current,sandbox,,threshold_above_upper_asymptote,,29.300954082525678,0
current,sandwich,7.437010480795433,ok,,24.988534728639095,0
current,sauce,7.119287064191536,ok,7.319872108142166,28.909244090020106,0
current,say,,threshold_below_lower_asymptote,6.511298938458566,27.143040225343398,0
current,scared,7.013864752026173,ok,6.96017397948407,26.521437608452025,0
current,scarf,,threshold_below_lower_asymptote,,,0
current,school,6.785862125940687,ok,6.768111892217804,23.937530807499474,0
current,scissors,,threshold_above_upper_asymptote,,26.046729785327116,0
current,see,,threshold_below_lower_asymptote,6.202283222258764,23.26497097971234,0
current,shake,7.317912713409781,ok,,27.550797616364726,0
current,share,6.9229080646655525,ok,7.241295858971136,26.32381034652683,0
current,sheep,7.046601355173066,ok,7.2715208872495625,23.25988784977189,0
current,shirt,,threshold_above_upper_asymptote,,21.81321042623773,0
current,shoe,,threshold_above_upper_asymptote,,16.358286285273284,0
current,shopping,,threshold_above_upper_asymptote,,26.165070893047815,0
current,shorts,,threshold_below_lower_asymptote,7.243287674079747,25.133809045982208,0
current,shoulder,7.1255365117447225,ok,,27.277177561827035,0
current,shovel,,threshold_above_upper_asymptote,,26.187099976529097,0
current,show,6.7801909268164104,ok,6.587529914318318,27.51748617185101,0
current,shower,,threshold_above_upper_asymptote,,24.142481410581965,0
current,sick,6.986098042308147,ok,6.786725490645874,26.810475954734216,0
current,sidewalk,,threshold_above_upper_asymptote,,28.316857414922413,0
current,sing,6.893078152275339,ok,6.958359906364102,24.394043224950867,0
current,sink,7.07637984780204,ok,7.37353940406502,25.39558925497061,0
current,sister,6.612634497854011,ok,6.829425321133,27.616276000578306,0
current,sit,6.974940502556444,ok,7.495268813370813,21.993039748466675,0
current,skate,,threshold_below_lower_asymptote,,,0
current,sky,6.540544316871801,ok,6.9642988173946625,24.28770977177167,0
current,sled,,threshold_below_lower_asymptote,,,0
current,sleep,,threshold_below_lower_asymptote,6.9062251270174375,22.902856230719685,0
current,sleepy,,threshold_above_upper_asymptote,,25.38698259489342,0
current,slipper,,threshold_above_upper_asymptote,,27.842979416757387,0
current,slow,7.041001181627865,ok,,28.72766020830381,0
current,smile,7.144937975524057,ok,,26.807860010476634,0
current,snack,,threshold_above_upper_asymptote,,23.280577167712412,0
current,sneaker,,threshold_below_lower_asymptote,,,0
current,snow,6.921950292836594,ok,7.02637371667503,24.687574502270998,0
current,snowman,,threshold_above_upper_asymptote,,27.12153947133698,0
current,soap,,threshold_above_upper_asymptote,,22.847457883648175,0
current,sock,,threshold_above_upper_asymptote,,20.713046206995855,0
current,soda,,threshold_above_upper_asymptote,,,0
current,sofa,,threshold_above_upper_asymptote,,,0
current,soft,6.982553247248071,ok,7.554061549259056,26.553159844649922,0
current,soup,7.278016766846394,ok,7.787176002616776,24.801226241774163,0
current,spaghetti,,threshold_above_upper_asymptote,7.822243395103142,24.726416693619992,0
current,spill,,threshold_above_upper_asymptote,,26.8965204314811,0
current,splash,,threshold_below_lower_asymptote,7.21810447834056,25.71250883152326,0
current,spoon,,threshold_above_upper_asymptote,,20.39908980036582,0
current,squirrel,,threshold_above_upper_asymptote,,25.031856679343775,0
current,stairs,6.9964068573563205,ok,7.0631663953715815,24.467643662000622,0
current,stand,6.946732431427144,ok,7.365245241042524,26.243248085091533,0
current,star,7.030733044180958,ok,7.347226216783236,22.531843509244336,0
current,stay,6.780590913413752,ok,6.646634247830845,26.49521999749948,0
current,stick,7.132873048295895,ok,,24.602147570761282,0
current,sticky,,threshold_above_upper_asymptote,,26.796949707228837,0
current,stone,7.031222940637751,ok,,,0
current,stop,6.676199733757908,ok,6.780972423463724,22.7025658907012,0
current,store,6.929570817072543,ok,7.071981062471189,24.24553978030457,0
current,story,6.770730187987956,ok,6.790261426592498,24.83326348723299,0
current,stove,7.100502877294794,ok,7.0778753850954885,27.921580602893854,0
current,strawberry,,threshold_above_upper_asymptote,,23.553803863761342,0
current,street,6.94691693325904,ok,6.90853840035497,25.889294579190338,0
current,stroller,,threshold_below_lower_asymptote,6.945124067450687,24.699849125295277,0
current,stuck,7.1438231366958105,ok,7.548548493448059,26.18224202591845,0
current,sun,,threshold_below_lower_asymptote,6.802669583478176,22.620513837393432,0
current,sweater,,threshold_above_upper_asymptote,,25.835012184430894,0
current,sweep,,threshold_above_upper_asymptote,,27.056749400673556,0
current,swim,7.035088577778338,ok,7.271486188090189,24.758145909832024,0
current,table,6.8117774538671805,ok,7.086713659573374,23.623454640728905,0
current,take,,threshold_below_lower_asymptote,6.359607468965816,26.912440144087405,0
current,talk,6.824970614644811,ok,7.267621084933593,26.1666744723998,0
current,tape,,threshold_above_upper_asymptote,,26.896831500589155,0
current,taste,7.10093416290648,ok,7.297852323878073,28.750765928594387,0
current,teacher,6.934627987680934,ok,7.249060722942149,28.36884966091159,0
current,tear,7.381877514055187,ok,,,0
current,telephone,,threshold_above_upper_asymptote,,21.409080313239528,0
current,think,,threshold_below_lower_asymptote,,,0
current,thirsty,,threshold_above_upper_asymptote,,26.1532899496978,0
current,throw,7.084058652628951,ok,,24.69394529214973,0
current,tiger,7.271420245652759,ok,,23.871222269718412,0
current,tights,6.887906923914654,ok,,,0
current,time,,threshold_below_lower_asymptote,,,0
current,tiny,7.175079389314121,ok,,,0
current,tired,6.964202198596444,ok,7.004381441964626,25.834664804067693,0
current,tissue,7.635937645353986,ok,,24.71696112712117,0
current,toast,,threshold_above_upper_asymptote,,24.044372357030184,0
current,today,6.77153141966535,ok,6.867208690081197,29.606093090564784,0
