case_id,source,target_token,prefix_tokens,later_tokens,target_idx,wwm_lp_full,wwm_lp_deleted,wwm_lp_shuffled,wwm_lp_unrelated,wwm_delta_deleted,wwm_delta_shuffled,wwm_delta_unrelated,wwm_spec_deleted_vs_unrelated,wwm_spec_shuffled_vs_unrelated,rtd_mlm_lp_full,rtd_mlm_lp_deleted,rtd_mlm_lp_shuffled,rtd_mlm_lp_unrelated,rtd_mlm_delta_deleted,rtd_mlm_delta_shuffled,rtd_mlm_delta_unrelated,rtd_mlm_spec_deleted_vs_unrelated,rtd_mlm_spec_shuffled_vs_unrelated,rtd_minus_wwm_delta_deleted,rtd_minus_wwm_delta_shuffled,rtd_minus_wwm_delta_unrelated,rtd_minus_wwm_spec_deleted_vs_unrelated,rtd_minus_wwm_spec_shuffled_vs_unrelated
20,bnc_spoken.train.txt,Ġcharacter,94,98,25,-9.709678649902344,-9.709562301635742,-9.709714889526367,-9.709792137145996,-0.0001163482666015625,3.62396240234375e-05,0.00011348724365234375,-0.00022983551025390625,-7.724761962890625e-05,-9.530683517456055,-9.529195785522461,-9.531261444091797,-9.520540237426758,-0.00148773193359375,0.0005779266357421875,-0.010143280029296875,0.008655548095703125,0.010721206665039062,-0.0013713836669921875,0.00054168701171875,-0.010256767272949219,0.008885383605957031,0.010798454284667969
21,bnc_spoken.train.txt,Ġdepartment,104,103,30,-9.776388168334961,-9.776505470275879,-9.776396751403809,-9.77660846710205,0.00011730194091796875,8.58306884765625e-06,0.00022029876708984375,-0.000102996826171875,-0.0002117156982421875,-9.341609954833984,-9.338849067687988,-9.34324836730957,-9.376076698303223,-0.0027608871459960938,0.0016384124755859375,0.03446674346923828,-0.037227630615234375,-0.032828330993652344,-0.0028781890869140625,0.0016298294067382812,0.03424644470214844,-0.0371246337890625,-0.032616615295410156
22,bnc_spoken.train.txt,Ġcarry,91,90,22,-10.324755668640137,-10.32475471496582,-10.324760437011719,-10.324810981750488,-9.5367431640625e-07,4.76837158203125e-06,5.53131103515625e-05,-5.626678466796875e-05,-5.054473876953125e-05,-9.694994926452637,-9.693740844726562,-9.695818901062012,-9.695829391479492,-0.0012540817260742188,0.000823974609375,0.0008344650268554688,-0.0020885467529296875,-1.049041748046875e-05,-0.0012531280517578125,0.0008192062377929688,0.0007791519165039062,-0.0020322799682617188,4.00543212890625e-05
23,childes.train.txt,Ġsince,120,120,32,-9.072216987609863,-9.07221794128418,-9.072216987609863,-9.072383880615234,9.5367431640625e-07,0.0,0.00016689300537109375,-0.0001659393310546875,-0.00016689300537109375,-9.369948387145996,-9.37784194946289,-9.370088577270508,-9.383877754211426,0.007893562316894531,0.00014019012451171875,0.013929367065429688,-0.006035804748535156,-0.013789176940917969,0.007892608642578125,0.00014019012451171875,0.013762474060058594,-0.005869865417480469,-0.013622283935546875
24,bnc_spoken.train.txt,Ġstill,90,93,25,-7.8549957275390625,-7.855420112609863,-7.854999542236328,-7.854875564575195,0.00042438507080078125,3.814697265625e-06,-0.0001201629638671875,0.0005445480346679688,0.0001239776611328125,-7.79771614074707,-7.791706085205078,-7.798757553100586,-7.799178600311279,-0.0060100555419921875,0.001041412353515625,0.0014624595642089844,-0.007472515106201172,-0.0004210472106933594,-0.006434440612792969,0.00103759765625,0.0015826225280761719,-0.00801706314086914,-0.0005450248718261719
25,childes.train.txt,Ġown,120,120,37,-7.896519660949707,-7.896475791931152,-7.896512031555176,-7.896578788757324,-4.38690185546875e-05,-7.62939453125e-06,5.91278076171875e-05,-0.000102996826171875,-6.67572021484375e-05,-7.951129913330078,-7.9618964195251465,-7.950638771057129,-7.955210208892822,0.01076650619506836,-0.0004911422729492188,0.004080295562744141,0.006686210632324219,-0.004571437835693359,0.010810375213623047,-0.00048351287841796875,0.004021167755126953,0.006789207458496094,-0.004504680633544922
26,childes.train.txt,Ġgoing,120,120,34,-6.502833843231201,-6.502833366394043,-6.502833843231201,-6.502833843231201,-4.76837158203125e-07,0.0,0.0,-4.76837158203125e-07,0.0,-6.728650093078613,-6.729898452758789,-6.729194641113281,-6.723299026489258,0.0012483596801757812,0.0005445480346679688,-0.005351066589355469,0.00659942626953125,0.0058956146240234375,0.0012488365173339844,0.0005445480346679688,-0.005351066589355469,0.006599903106689453,0.0058956146240234375
27,bnc_spoken.train.txt,Ġtwelve,96,98,25,-8.991799354553223,-8.99181842803955,-8.991839408874512,-8.99181079864502,1.9073486328125e-05,4.00543212890625e-05,1.1444091796875e-05,7.62939453125e-06,2.86102294921875e-05,-8.843456268310547,-8.840204238891602,-8.843894958496094,-8.84233570098877,-0.0032520294189453125,0.000438690185546875,-0.0011205673217773438,-0.0021314620971679688,0.0015592575073242188,-0.0032711029052734375,0.0003986358642578125,-0.0011320114135742188,-0.0021390914916992188,0.0015306472778320312
28,childes.train.txt,CHI,120,120,37,-4.179802894592285,-4.179666042327881,-4.179810047149658,-4.179802894592285,-0.00013685226440429688,7.152557373046875e-06,0.0,-0.00013685226440429688,7.152557373046875e-06,-3.7945168018341064,-3.788238525390625,-3.795092821121216,-3.799919605255127,-0.006278276443481445,0.000576019287109375,0.005402803421020508,-0.011681079864501953,-0.004826784133911133,-0.0061414241790771484,0.0005688667297363281,0.005402803421020508,-0.011544227600097656,-0.00483393669128418
29,bnc_spoken.train.txt,cially,106,99,25,-11.508504867553711,-11.508045196533203,-11.508576393127441,-11.509425163269043,-0.0004596710205078125,7.152557373046875e-05,0.0009202957153320312,-0.0013799667358398438,-0.0008487701416015625,-10.778162002563477,-10.776779174804688,-10.777448654174805,-10.767007827758789,-0.0013828277587890625,-0.000713348388671875,-0.0111541748046875,0.009771347045898438,0.010440826416015625,-0.00092315673828125,-0.0007848739624023438,-0.012074470520019531,0.011151313781738281,0.011289596557617188
