case_id,source,target_token,prefix_tokens,later_tokens,target_idx,wwm_lp_full,wwm_lp_deleted,wwm_lp_shuffled,wwm_lp_same_near,wwm_lp_cross_near,wwm_delta_deleted,wwm_delta_shuffled,wwm_delta_same_near,wwm_delta_cross_near,wwm_spec_same_vs_cross,wwm_spec_deleted_vs_cross,cont_lp_full,cont_lp_deleted,cont_lp_shuffled,cont_lp_same_near,cont_lp_cross_near,cont_delta_deleted,cont_delta_shuffled,cont_delta_same_near,cont_delta_cross_near,cont_spec_same_vs_cross,cont_spec_deleted_vs_cross,cont_minus_wwm_delta_deleted,cont_minus_wwm_delta_shuffled,cont_minus_wwm_delta_same_near,cont_minus_wwm_delta_cross_near,cont_minus_wwm_spec_same_vs_cross,cont_minus_wwm_spec_deleted_vs_cross,wwm_sensitivity_score
10,bnc_spoken.train.txt,Ġphoned,96,105,26,-12.170806884765625,-12.17081069946289,-12.170806884765625,-12.170872688293457,-12.170806884765625,3.814697265625e-06,0.0,6.580352783203125e-05,0.0,6.580352783203125e-05,3.814697265625e-06,-10.638547897338867,-10.638547897338867,-10.638547897338867,-10.638547897338867,-12.484375953674316,0.0,0.0,0.0,1.8458280563354492,-1.8458280563354492,-1.8458280563354492,-3.814697265625e-06,0.0,-6.580352783203125e-05,1.8458280563354492,-1.8458938598632812,-1.8458318710327148,6.580352783203125e-05
11,childes.train.txt,ĠMommy,120,120,30,-7.107302188873291,-7.107301712036133,-7.107301712036133,-7.107302665710449,-7.107301712036133,-4.76837158203125e-07,-4.76837158203125e-07,4.76837158203125e-07,-4.76837158203125e-07,9.5367431640625e-07,0.0,-5.877418518066406,-5.877416610717773,-5.877418518066406,-5.87741756439209,-5.877418518066406,-1.9073486328125e-06,0.0,-9.5367431640625e-07,0.0,-9.5367431640625e-07,-1.9073486328125e-06,-1.430511474609375e-06,4.76837158203125e-07,-1.430511474609375e-06,4.76837158203125e-07,-1.9073486328125e-06,-1.9073486328125e-06,4.76837158203125e-07
12,bnc_spoken.train.txt,Ġcalls,98,85,21,-9.794462203979492,-9.795623779296875,-9.794416427612305,-9.794374465942383,-9.79452133178711,0.0011615753173828125,-4.57763671875e-05,-8.7738037109375e-05,5.91278076171875e-05,-0.0001468658447265625,0.001102447509765625,-10.1480712890625,-10.1480712890625,-10.1480712890625,-10.1480712890625,-10.281939506530762,0.0,0.0,0.0,0.13386821746826172,-0.13386821746826172,-0.13386821746826172,-0.0011615753173828125,4.57763671875e-05,8.7738037109375e-05,0.13380908966064453,-0.13372135162353516,-0.13497066497802734,0.0011615753173828125
13,childes.train.txt,CHI,116,120,34,-4.179665565490723,-4.179670333862305,-4.179665565490723,-4.179665565490723,-4.1796674728393555,4.76837158203125e-06,0.0,0.0,1.9073486328125e-06,-1.9073486328125e-06,2.86102294921875e-06,-2.794912815093994,-2.794916868209839,-2.7949118614196777,-2.7949135303497314,-2.7949297428131104,4.0531158447265625e-06,-9.5367431640625e-07,7.152557373046875e-07,1.6927719116210938e-05,-1.621246337890625e-05,-1.2874603271484375e-05,-7.152557373046875e-07,-9.5367431640625e-07,7.152557373046875e-07,1.5020370483398438e-05,-1.430511474609375e-05,-1.5735626220703125e-05,4.76837158203125e-06
14,childes.train.txt,CHI,120,120,34,-4.179665565490723,-4.179666042327881,-4.179665565490723,-4.179666042327881,-4.179666519165039,4.76837158203125e-07,0.0,4.76837158203125e-07,9.5367431640625e-07,-4.76837158203125e-07,-4.76837158203125e-07,-2.7949061393737793,-2.7949142456054688,-2.7949063777923584,-2.7949044704437256,-2.7949085235595703,8.106231689453125e-06,2.384185791015625e-07,-1.6689300537109375e-06,2.384185791015625e-06,-4.0531158447265625e-06,5.7220458984375e-06,7.62939453125e-06,2.384185791015625e-07,-2.1457672119140625e-06,1.430511474609375e-06,-3.5762786865234375e-06,6.198883056640625e-06,4.76837158203125e-07
15,bnc_spoken.train.txt,Ġlovely,109,101,29,-9.424517631530762,-9.425084114074707,-9.424964904785156,-9.425679206848145,-9.425667762756348,0.0005664825439453125,0.00044727325439453125,0.0011615753173828125,0.0011501312255859375,1.1444091796875e-05,-0.000583648681640625,-9.0144681930542,-9.014472007751465,-9.0144681930542,-9.014469146728516,-10.519500732421875,3.814697265625e-06,0.0,9.5367431640625e-07,1.5050325393676758,-1.5050315856933594,-1.5050287246704102,-0.0005626678466796875,-0.00044727325439453125,-0.0011606216430664062,1.5038824081420898,-1.5050430297851562,-1.5044450759887695,0.0011615753173828125
16,bnc_spoken.train.txt,Ġcourse,96,95,25,-7.601707458496094,-7.601712226867676,-7.601661682128906,-7.601449489593506,-7.601458549499512,4.76837158203125e-06,-4.57763671875e-05,-0.0002579689025878906,-0.00024890899658203125,-9.059906005859375e-06,0.0002536773681640625,-7.256383419036865,-7.256385803222656,-7.256383419036865,-7.256382942199707,-9.057308197021484,2.384185791015625e-06,0.0,-4.76837158203125e-07,1.8009247779846191,-1.8009252548217773,-1.8009223937988281,-2.384185791015625e-06,4.57763671875e-05,0.0002574920654296875,1.8011736869812012,-1.8009161949157715,-1.8011760711669922,0.0002579689025878906
17,bnc_spoken.train.txt,Ġlamp,106,94,23,-13.360750198364258,-13.36093521118164,-13.360642433166504,-13.361369132995605,-13.363330841064453,0.0001850128173828125,-0.00010776519775390625,0.0006189346313476562,0.0025806427001953125,-0.0019617080688476562,-0.0023956298828125,-12.682141304016113,-12.682140350341797,-12.682143211364746,-12.68213939666748,-13.00159740447998,-9.5367431640625e-07,1.9073486328125e-06,-1.9073486328125e-06,0.3194561004638672,-0.3194580078125,-0.3194570541381836,-0.00018596649169921875,0.00010967254638671875,-0.0006208419799804688,0.3168754577636719,-0.31749629974365234,-0.3170614242553711,0.0006189346313476562
18,childes.train.txt,FAT,120,120,32,-8.435285568237305,-8.435285568237305,-8.435285568237305,-8.435286521911621,-8.435287475585938,0.0,0.0,9.5367431640625e-07,1.9073486328125e-06,-9.5367431640625e-07,-1.9073486328125e-06,-6.697600841522217,-6.697599411010742,-6.697601318359375,-6.697601795196533,-6.697600364685059,-1.430511474609375e-06,4.76837158203125e-07,9.5367431640625e-07,-4.76837158203125e-07,1.430511474609375e-06,-9.5367431640625e-07,-1.430511474609375e-06,4.76837158203125e-07,0.0,-2.384185791015625e-06,2.384185791015625e-06,9.5367431640625e-07,9.5367431640625e-07
19,bnc_spoken.train.txt,Ġone,104,107,27,-5.290667533874512,-5.290718078613281,-5.290670394897461,-5.29069185256958,-5.2906694412231445,5.054473876953125e-05,2.86102294921875e-06,2.4318695068359375e-05,1.9073486328125e-06,2.2411346435546875e-05,4.863739013671875e-05,-5.287714004516602,-5.287716388702393,-5.28771448135376,-5.287716388702393,-5.306370735168457,2.384185791015625e-06,4.76837158203125e-07,2.384185791015625e-06,0.01865673065185547,-0.018654346466064453,-0.018654346466064453,-4.8160552978515625e-05,-2.384185791015625e-06,-2.193450927734375e-05,0.018654823303222656,-0.0186767578125,-0.018702983856201172,5.054473876953125e-05
