column,subtask,n_items,score_82,score_84,score_100,delta_84_minus_82,gains_82_to_84,losses_82_to_84,net_items_82_to_84,retention_of_82_correct_at_84,delta_100_minus_84,gains_84_to_100,losses_84_to_100,net_items_84_to_100
BLiMP,superlative_quantifiers_1,979,97.03779366700715,95.40347293156282,96.11848825331971,-1.6343207354443336,4,20,-16,0.9789473684210527,0.7150153217568942,9,2,7
BLiMP,superlative_quantifiers_2,986,80.22312373225152,82.04868154158214,83.97565922920892,1.8255578093306184,32,14,18,0.9823008849557522,1.9269776876267741,24,5,19
BLiMP,tough_vs_raising_1,948,35.970464135021096,34.07172995780591,34.70464135021097,-1.8987341772151893,6,24,-18,0.9296187683284457,0.6329113924050631,20,14,6
BLiMP,tough_vs_raising_2,920,73.58695652173914,74.78260869565217,77.06521739130436,1.1956521739130324,20,9,11,0.9867060561299852,2.2826086956521863,26,5,21
BLiMP,transitive,868,71.08294930875576,70.96774193548387,70.04608294930875,-0.11520737327188613,10,11,-1,0.9821717990275527,-0.9216589861751174,9,17,-8
BLiMP,wh_island,960,55.208333333333336,55.833333333333336,60.0,0.625,27,21,6,0.960377358490566,4.166666666666664,45,5,40
BLiMP,wh_questions_object_gap,859,53.66705471478463,54.48195576251456,55.529685681024446,0.8149010477299257,24,17,7,0.9631236442516269,1.0477299185098872,25,16,9
BLiMP,wh_questions_subject_gap,898,78.39643652561247,79.06458797327394,79.06458797327394,0.6681514476614723,21,15,6,0.9786931818181818,0.0,12,12,0
BLiMP,wh_questions_subject_gap_long_distance,857,92.53208868144691,92.41540256709452,92.76546091015169,-0.11668611435239029,6,7,-1,0.9911727616645649,0.3500583430571709,8,5,3
BLiMP,wh_vs_that_no_gap,861,88.6178861788618,88.26945412311265,88.26945412311265,-0.34843205574914293,12,15,-3,0.9803407601572739,0.0,10,10,0
BLiMP,wh_vs_that_no_gap_long_distance,875,95.42857142857143,94.51428571428572,95.08571428571429,-0.914285714285711,5,13,-8,0.9844311377245509,0.5714285714285694,9,4,5
BLiMP,wh_vs_that_with_gap,919,44.28726877040261,44.50489662676823,47.98694232861806,0.21762785636561688,17,15,2,0.9631449631449631,3.4820457018498345,35,3,32
BLiMP,wh_vs_that_with_gap_long_distance,910,13.186813186813188,15.164835164835164,15.824175824175823,1.9780219780219763,24,6,18,0.95,0.6593406593406588,16,10,6
COMPS,base,49340,53.29550060802595,53.50425618159708,53.67450344548034,0.20875557357113195,1638,1535,103,0.9416261028293277,0.17024726388326172,1561,1477,84
COMPS,wugs,13896,52.1804835924007,52.043753598157735,52.331606217616574,-0.1367299942429625,366,385,-19,0.9469038753275411,0.2878526194588389,422,382,40
COMPS,wugs_dist_before,13896,38.010938399539434,37.737478411053544,39.03281519861831,-0.2734599884858895,481,519,-38,0.9017417644831504,1.2953367875647643,684,504,180
COMPS,wugs_dist_in_between,13896,65.27777777777779,65.53684513529073,64.17674150834772,0.2590673575129472,516,480,36,0.9470841142101202,-1.3601036269430153,446,635,-189
EWoK,agent-properties,2210,50.40723981900452,49.366515837104075,50.13574660633484,-1.0407239819004488,45,68,-23,0.9389587073608617,0.7692307692307665,79,62,17
