arm,checkpoint,seed,role2,probe_id,pair_id,token_class,neutral_nll,target_token_id,source_token_len,rewrite_token_len,source_words,rewrite_words
D_C_43022,chck_80M,43022,C,rewritecond:34:4:compact:fwcompact_medium_054480,compact:fwcompact_medium_054480,nonoverlap,5.350786209106445,1258,13,7,10,6
D_C_43022,chck_80M,43022,C,rewritecond:34:5:compact:fwcompact_medium_054480,compact:fwcompact_medium_054480,overlap,7.465230941772461,2525,13,7,10,6
D_C_43022,chck_80M,43022,C,rewritecond:35:2:compact:fwcompact_medium_012743,compact:fwcompact_medium_012743,nonoverlap,11.044805526733398,820,13,8,10,4
D_C_43022,chck_80M,43022,C,rewritecond:35:6:compact:fwcompact_medium_012743,compact:fwcompact_medium_012743,nonoverlap,6.821158409118652,1942,13,8,10,4
D_C_43022,chck_80M,43022,C,rewritecond:35:1:compact:fwcompact_medium_012743,compact:fwcompact_medium_012743,overlap,9.860003471374512,4481,13,8,10,4
D_C_43022,chck_80M,43022,C,rewritecond:35:4:compact:fwcompact_medium_012743,compact:fwcompact_medium_012743,overlap,9.91135025024414,6560,13,8,10,4
D_C_43022,chck_80M,43022,C,rewritecond:36:1:compact:fwcompact_medium_007894,compact:fwcompact_medium_007894,nonoverlap,13.542718887329102,1767,11,7,10,6
D_C_43022,chck_80M,43022,C,rewritecond:36:2:compact:fwcompact_medium_007894,compact:fwcompact_medium_007894,nonoverlap,6.369277000427246,11348,11,7,10,6
D_C_43022,chck_80M,43022,C,rewritecond:36:4:compact:fwcompact_medium_007894,compact:fwcompact_medium_007894,overlap,1.5738236904144287,1252,11,7,10,6
D_C_43022,chck_80M,43022,C,rewritecond:36:5:compact:fwcompact_medium_007894,compact:fwcompact_medium_007894,overlap,6.816316604614258,7486,11,7,10,6
D_C_43022,chck_80M,43022,C,rewritecond:37:2:compact:fwcompact_medium_028263,compact:fwcompact_medium_028263,nonoverlap,3.563004970550537,1751,21,12,11,6
D_C_43022,chck_80M,43022,C,rewritecond:37:4:compact:fwcompact_medium_028263,compact:fwcompact_medium_028263,nonoverlap,12.098506927490234,3006,21,12,11,6
D_C_43022,chck_80M,43022,C,rewritecond:37:0:compact:fwcompact_medium_028263,compact:fwcompact_medium_028263,overlap,12.580424308776855,4805,21,12,11,6
D_C_43022,chck_80M,43022,C,rewritecond:37:10:compact:fwcompact_medium_028263,compact:fwcompact_medium_028263,overlap,5.33198356628418,1540,21,12,11,6
D_C_43022,chck_80M,43022,C,rewritecond:38:0:compact:fwcompact_medium_017745,compact:fwcompact_medium_017745,nonoverlap,13.92639446258545,7818,13,8,11,4
D_C_43022,chck_80M,43022,C,rewritecond:38:3:compact:fwcompact_medium_017745,compact:fwcompact_medium_017745,nonoverlap,9.482158660888672,1956,13,8,11,4
D_C_43022,chck_80M,43022,C,rewritecond:38:4:compact:fwcompact_medium_017745,compact:fwcompact_medium_017745,overlap,10.011251449584961,15038,13,8,11,4
D_C_43022,chck_80M,43022,C,rewritecond:38:6:compact:fwcompact_medium_017745,compact:fwcompact_medium_017745,overlap,13.87716293334961,6498,13,8,11,4
D_C_43022,chck_80M,43022,C,rewritecond:39:9:compact:fwcompact_medium_020368,compact:fwcompact_medium_020368,nonoverlap,7.791722774505615,897,18,12,11,6
D_C_43022,chck_80M,43022,C,rewritecond:39:10:compact:fwcompact_medium_020368,compact:fwcompact_medium_020368,nonoverlap,13.126996994018555,12666,18,12,11,6
D_C_43022,chck_80M,43022,C,rewritecond:39:6:compact:fwcompact_medium_020368,compact:fwcompact_medium_020368,overlap,7.205772876739502,790,18,12,11,6
D_C_43022,chck_80M,43022,C,rewritecond:39:7:compact:fwcompact_medium_020368,compact:fwcompact_medium_020368,overlap,8.120340347290039,4851,18,12,11,6
D_C_43022,chck_80M,43022,C,rewritecond:40:2:compact:fwcompact_medium_043547,compact:fwcompact_medium_043547,nonoverlap,9.662891387939453,4745,13,10,11,8
D_C_43022,chck_80M,43022,C,rewritecond:40:7:compact:fwcompact_medium_043547,compact:fwcompact_medium_043547,nonoverlap,10.022403717041016,15317,13,10,11,8
D_C_43022,chck_80M,43022,C,rewritecond:40:1:compact:fwcompact_medium_043547,compact:fwcompact_medium_043547,overlap,10.636092185974121,3801,13,10,11,8
D_C_43022,chck_80M,43022,C,rewritecond:40:8:compact:fwcompact_medium_043547,compact:fwcompact_medium_043547,overlap,8.619811058044434,9984,13,10,11,8
D_C_43022,chck_80M,43022,C,rewritecond:41:6:compact:fwcompact_medium_032927,compact:fwcompact_medium_032927,nonoverlap,8.48488712310791,2774,20,15,11,7
D_C_43022,chck_80M,43022,C,rewritecond:41:7:compact:fwcompact_medium_032927,compact:fwcompact_medium_032927,nonoverlap,9.201112747192383,11348,20,15,11,7
D_C_43022,chck_80M,43022,C,rewritecond:41:2:compact:fwcompact_medium_032927,compact:fwcompact_medium_032927,overlap,9.124695777893066,269,20,15,11,7
D_C_43022,chck_80M,43022,C,rewritecond:41:13:compact:fwcompact_medium_032927,compact:fwcompact_medium_032927,overlap,10.322702407836914,5913,20,15,11,7
D_C_43022,chck_80M,43022,C,rewritecond:42:0:compact:fwcompact_medium_044823,compact:fwcompact_medium_044823,nonoverlap,15.202679634094238,5600,19,9,12,7
D_C_43022,chck_80M,43022,C,rewritecond:42:5:compact:fwcompact_medium_044823,compact:fwcompact_medium_044823,nonoverlap,5.532447814941406,1045,19,9,12,7
D_C_43022,chck_80M,43022,C,rewritecond:42:1:compact:fwcompact_medium_044823,compact:fwcompact_medium_044823,overlap,15.283927917480469,1209,19,9,12,7
D_C_43022,chck_80M,43022,C,rewritecond:42:7:compact:fwcompact_medium_044823,compact:fwcompact_medium_044823,overlap,7.181854248046875,1760,19,9,12,7
D_C_43022,chck_80M,43022,C,rewritecond:43:3:compact:fwcompact_medium_035244,compact:fwcompact_medium_035244,nonoverlap,4.470170021057129,2970,17,16,12,11
D_C_43022,chck_80M,43022,C,rewritecond:43:1:compact:fwcompact_medium_035244,compact:fwcompact_medium_035244,overlap,2.6487107276916504,2614,17,16,12,11
D_C_43022,chck_80M,43022,C,rewritecond:43:6:compact:fwcompact_medium_035244,compact:fwcompact_medium_035244,overlap,7.776902675628662,3785,17,16,12,11
