uid,domain,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,old_instability_pattern,correct_43022,correct_43122,margin_43022,margin_43122,margin_seed_delta_430_minus_431,old_sent_len0,old_sent_len1,new_sent_len0,new_sent_len1,delta_sent_len0_new_minus_old,delta_sent_len1_new_minus_old,mean_sentence_len_delta_new_minus_old,delta_candidate_length_asymmetry_new_minus_old,old_target_len0,old_target_len1,new_target_len0,new_target_len1,target_len_delta_new_minus_old
material-dynamics_12,material-dynamics,break,drip,indirect,material,concept swap,0000,0,0,-0.04907798767089844,-0.9257545471191406,0.8766765594482422,9,9,9,9,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_16,material-dynamics,break,drip,indirect,material,concept swap,0000,0,0,-2.370088577270508,-5.061986923217773,2.6918983459472656,9,8,9,8,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_18,material-dynamics,break,drip,indirect,material,concept swap,0000,0,0,-0.8355617523193359,-2.437824249267578,1.6022624969482422,10,8,10,8,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_33,material-dynamics,break,flap,indirect,material,concept swap,0000,1,0,1.235452651977539,-0.6031093597412109,1.83856201171875,11,10,11,10,0,0,0.0,0,4,4,4,4,0.0
material-dynamics_38,material-dynamics,break,flap,indirect,material,concept swap,0000,0,0,-1.4587631225585938,-2.1326074600219727,0.6738443374633789,10,8,10,8,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_76,material-dynamics,break,ripple,indirect,material,concept swap,0000,0,0,-0.04907798767089844,-0.9257545471191406,0.8766765594482422,9,9,9,9,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_82,material-dynamics,break,ripple,indirect,material,concept swap,0000,0,0,-2.370088577270508,-5.061986923217773,2.6918983459472656,9,8,9,8,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_86,material-dynamics,break,ripple,indirect,material,concept swap,0000,0,0,-0.8355617523193359,-2.437824249267578,1.6022624969482422,10,8,10,8,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_88,material-dynamics,break,ripple,indirect,material,concept swap,0000,0,0,-1.4587631225585938,-2.1326074600219727,0.6738443374633789,10,8,10,8,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_102,material-dynamics,break,splash,indirect,material,concept swap,0000,0,0,-0.04907798767089844,-0.9257545471191406,0.8766765594482422,9,9,9,9,0,0,0.0,0,3,3,3,3,0.0
physical-dynamics_5,physical-dynamics,accelerate,slow down,direct,antonym,concept swap,0110,1,0,1.1586055755615234,-1.3763713836669922,2.5349769592285156,16,15,16,15,0,0,0.0,0,7,7,7,7,0.0
physical-dynamics_7,physical-dynamics,accelerate,slow down,direct,antonym,concept swap,0110,1,0,0.47660255432128906,-1.9949874877929688,2.471590042114258,16,15,16,15,0,0,0.0,0,7,7,7,7,0.0
physical-dynamics_1,physical-dynamics,accelerate,slow down,direct,antonym,concept swap,0100,1,0,0.31211090087890625,-1.7109527587890625,2.0230636596679688,16,15,16,15,0,0,0.0,0,7,7,7,7,0.0
physical-dynamics_3,physical-dynamics,accelerate,slow down,direct,antonym,concept swap,1110,1,0,0.24138450622558594,-1.2880363464355469,1.5294208526611328,16,15,16,15,0,0,0.0,0,7,7,7,7,0.0
physical-dynamics_9,physical-dynamics,accelerate,slow down,direct,antonym,concept swap,0100,0,0,-0.5212936401367188,-2.0118179321289062,1.4905242919921875,16,15,16,15,0,0,0.0,0,7,7,7,7,0.0
physical-dynamics_24,physical-dynamics,fall,rise,direct,antonym,concept swap,0111,1,1,0.705535888671875,1.1935920715332031,-0.4880561828613281,14,14,14,14,0,0,0.0,0,5,5,5,5,0.0
physical-dynamics_26,physical-dynamics,fall,rise,direct,antonym,concept swap,0100,0,0,-0.41383934020996094,-0.7455959320068359,0.331756591796875,11,11,11,11,0,0,0.0,0,5,5,5,5,0.0
physical-dynamics_40,physical-dynamics,grow,shrink,direct,antonym,concept swap,0010,0,1,-1.7478981018066406,0.9169197082519531,-2.6648178100585938,14,14,14,14,0,0,0.0,0,5,5,5,5,0.0
physical-dynamics_42,physical-dynamics,grow,shrink,direct,antonym,concept swap,0010,0,1,-2.209665298461914,0.22014617919921875,-2.429811477661133,14,14,14,14,0,0,0.0,0,5,5,5,5,0.0
physical-dynamics_44,physical-dynamics,grow,shrink,direct,antonym,concept swap,0010,0,1,-1.6592521667480469,1.1514892578125,-2.810741424560547,14,14,14,14,0,0,0.0,0,5,5,5,5,0.0
