family,group,contrast,role_a,role_b,n_checkpoints,n_a,n_b,late_mean_delta_mean_gain_a_minus_b,late_sd_delta_mean_gain_a_minus_b,positive_checkpoints_mean_gain,negative_checkpoints_mean_gain,late_mean_delta_mean_intact_nll_a_minus_b,late_sd_delta_mean_intact_nll_a_minus_b,positive_checkpoints_mean_intact_nll,negative_checkpoints_mean_intact_nll,late_mean_delta_mean_control_nll_a_minus_b,late_sd_delta_mean_control_nll_a_minus_b,positive_checkpoints_mean_control_nll,negative_checkpoints_mean_control_nll,late_mean_delta_mean_true_source_nll_a_minus_b,late_sd_delta_mean_true_source_nll_a_minus_b,positive_checkpoints_mean_true_source_nll,negative_checkpoints_mean_true_source_nll,late_mean_delta_mean_unrelated_source_nll_a_minus_b,late_sd_delta_mean_unrelated_source_nll_a_minus_b,positive_checkpoints_mean_unrelated_source_nll,negative_checkpoints_mean_unrelated_source_nll,late_mean_delta_mean_margin_full_a_minus_b,late_sd_delta_mean_margin_full_a_minus_b,positive_checkpoints_mean_margin_full,negative_checkpoints_mean_margin_full,late_mean_delta_mean_effect_no_initial_qbox_a_minus_b,late_sd_delta_mean_effect_no_initial_qbox_a_minus_b,positive_checkpoints_mean_effect_no_initial_qbox,negative_checkpoints_mean_effect_no_initial_qbox,late_mean_delta_mean_effect_no_last_relevant_update_a_minus_b,late_sd_delta_mean_effect_no_last_relevant_update_a_minus_b,positive_checkpoints_mean_effect_no_last_relevant_update,negative_checkpoints_mean_effect_no_last_relevant_update,late_mean_delta_mean_effect_no_all_relevant_updates_a_minus_b,late_sd_delta_mean_effect_no_all_relevant_updates_a_minus_b,positive_checkpoints_mean_effect_no_all_relevant_updates,negative_checkpoints_mean_effect_no_all_relevant_updates
entity,rel_updates_2,RminusC,R,C,5,489,489,,,,,,,,,,,,,,,,,,,,,0.10732412206614675,0.031266524806194726,5,0,0.01764599296944273,0.027552019548219533,4,1,-0.12251775372003974,0.027883071439076132,0,5,-0.04277980610393064,0.021917537216098897,0,5
entity,rel_updates_2,RSminusC,RS,C,5,489,489,,,,,,,,,,,,,,,,,,,,,0.020020333438319417,0.013236499436101775,5,0,-0.012110686984774039,0.013333821101581196,0,5,0.021852541847463037,0.008611169729231904,5,0,-0.010126449335328396,0.01777608908470611,1,4
entity,rel_updates_2,RminusRS,R,RS,5,489,489,,,,,,,,,,,,,,,,,,,,,0.08730378862782734,0.0207063688281931,5,0,0.02975667995421677,0.014476006767989855,5,0,-0.14437029556750278,0.021121042639041087,0,5,-0.032653356768602246,0.024371003352686677,1,4
entity,rel_updates_2,RSminusR,RS,R,5,489,489,,,,,,,,,,,,,,,,,,,,,-0.08730378862782734,0.0207063688281931,0,5,-0.02975667995421677,0.014476006767989855,0,5,0.14437029556750278,0.021121042639041087,5,0,0.032653356768602246,0.024371003352686677,4,1
entity,rel_updates_2,VminusC,V,C,5,489,489,,,,,,,,,,,,,,,,,,,,,-0.007054321409978262,0.00830243329368789,2,3,-0.009118660339792329,0.013804636604363627,2,3,-0.10517847996304128,0.00735377637089486,0,5,-0.07160840756078926,0.02146567941946958,0,5
entity,rel_updates_2,RSminusV,RS,V,5,489,489,,,,,,,,,,,,,,,,,,,,,0.02707465484829768,0.018292263667846476,5,0,-0.002992026644981711,0.019618897540172407,2,3,0.12703102181050432,0.01277279841273892,5,0,0.06148195822546087,0.016417005424736383,5,0
entity,rel_updates_3,RminusC,R,C,5,296,296,,,,,,,,,,,,,,,,,,,,,0.2352143066960412,0.1114627119017268,5,0,0.10158920706929388,0.09253614774701996,4,1,-0.10835971067080627,0.06746565397370251,0,5,-0.08933767394439594,0.12477009041871705,1,4
entity,rel_updates_3,RSminusC,RS,C,5,296,296,,,,,,,,,,,,,,,,,,,,,0.17130047695056813,0.0854216261403283,5,0,-0.06109734338683051,0.03853463053319064,0,5,-0.03495823910107483,0.027672530709953406,1,4,-0.1343262894733532,0.05779967139300859,0,5
entity,rel_updates_3,RminusRS,R,RS,5,296,296,,,,,,,,,,,,,,,,,,,,,0.06391382974547309,0.04882622480316705,4,1,0.16268655045612437,0.06590143451354998,5,0,-0.07340147156973144,0.07525146765133797,0,5,0.044988615528957256,0.07589314433183161,3,2
entity,rel_updates_3,RSminusR,RS,R,5,296,296,,,,,,,,,,,,,,,,,,,,,-0.06391382974547309,0.04882622480316705,1,4,-0.16268655045612437,0.06590143451354998,0,5,0.07340147156973144,0.07525146765133797,5,0,-0.044988615528957256,0.07589314433183161,2,3
entity,rel_updates_3,VminusC,V,C,5,296,296,,,,,,,,,,,,,,,,,,,,,0.05407492961432483,0.1887032764867674,2,3,0.05923577724276362,0.035219616163079316,5,0,-0.005214070709975982,0.05045136483897826,4,1,-0.09792757767277793,0.09837471714512941,0,5
entity,rel_updates_3,RSminusV,RS,V,5,296,296,,,,,,,,,,,,,,,,,,,,,0.11722554733624328,0.14098067626670757,4,1,-0.12033312062959413,0.030477263075615723,0,5,-0.029744168391098846,0.04986724626813947,2,3,-0.03639871180057526,0.0429359522781753,1,4
